Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Icengelo,60607037,,,"Icengelo,Kokoliko,Rise FM, Baptist Faith,Flava FM,Iwave,Phoenix,","Icengelo,Kokoliko,Rise FM, Baptist Faith,Flava FM,Iwave,Phoenix,","Icengelo,Iwave,Kokoliko,Rise FM,",,"Icengelo,Rise FM","Icengelo,Rise FM","Icengelo,Iwave,Kokoliko,Rise FM"
Chimwemwe,60607296,,,"Chimwemwe,Ngoma fm,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Chimwemwe,Ngoma fm,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Chimwemwe,,",,"Chimwemwe,","Chimwemwe,","Chimwemwe,"
Icengelo,60607297,,,"Icengelo,Ngoma fm,BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Icengelo,Ngoma fm,BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Icengelo,,Icengelo,Icengelo,Icengelo
Radio 4,60607299,,,"Radio 1,Ngoma fm,Baptist Faith,BBC,Icengelo,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,","Radio 1,Ngoma fm,Baptist Faith,BBC,Icengelo,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,","Icengelo,Radio 2","Icengelo,Radio 4,","Icengelo,Radio 4,","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,"
Icengelo,60607299,,,"Radio 1,Ngoma fm,Baptist Faith,BBC,Icengelo,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,","Radio 1,Ngoma fm,Baptist Faith,BBC,Icengelo,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FMFM,","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,","Icengelo,Radio 2","Icengelo,Radio 4,","Icengelo,Radio 4,","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun FM,"
Radio 4,60607364,,,"Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4,",Radio Christian Voice,"Radio 4,Radio Christian Voice,Zambezi,Radio 2","Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 2","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4"
Radio 2,60607364,,,"Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4,",Radio Christian Voice,"Radio 4,Radio Christian Voice,Zambezi,Radio 2","Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 2","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4"
Radio Christian Voice,60607364,,,"Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4,",Radio Christian Voice,"Radio 4,Radio Christian Voice,Zambezi,Radio 2","Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 2","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4"
Zambezi,60607364,,,"Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Mosi-0-Tunya,Radio 1,Radio 2,Radio 4,Zambezi,Radio 1,Radio 2,Radio 4, BBC,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Namwiaanga,Radio Christian Voice,SKY,","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4,",Radio Christian Voice,"Radio 4,Radio Christian Voice,Zambezi,Radio 2","Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 2","Falls,Mosi-0-Tunya,Radio 1,Radio 4,Radio Christian Voice,SKY,Zambezi,Radio 1,Radio 2,Radio 4"
Mazabuka,60607365,,,"Mazabuka,Radio 4,Komboni Radio,BBC,Parliament,Q FM,Radio 1,Radio 2,Radio Christian Voice,SKY,Zambezi,","Mazabuka,Radio 4,Komboni Radio,BBC,Parliament,Q FM,Radio 1,Radio 2,Radio Christian Voice,SKY,Zambezi,","Mazabuka,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,Zambezi,,","Mazabuka,","Mazabuka,","Mazabuka,","Mazabuka,"
