New Generation analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,New Generation
6:00  -  6:14,60845875,North-Western,Solwezi,Urban,Male,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
7:00  -  7:14,60845875,North-Western,Solwezi,Urban,Male,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
17:00  -  17:14,60845878,North-Western,Solwezi,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,15:00  -  15:14,17:00  -  17:14,15:00  -  15:14,17:00  -  17:14,15:00  -  15:14,17:00  -  17:14,,,"
15:00  -  15:14,60845878,North-Western,Solwezi,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,15:00  -  15:14,17:00  -  17:14,15:00  -  15:14,17:00  -  17:14,15:00  -  15:14,17:00  -  17:14,,,"
7:00  -  7:14,60845879,North-Western,Solwezi,Urban,Female,1,One,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"7:00  -  7:14,8:00  -  8:14,,,,,,,"
8:00  -  8:14,60845879,North-Western,Solwezi,Urban,Female,1,One,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"7:00  -  7:14,8:00  -  8:14,,,,,,,"
7:00  -  7:14,60845880,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
9:00  -  9:14,60845880,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
17:00  -  17:14,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:30  -  18:44,,,,"
18:30  -  18:44,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:30  -  18:44,,,,"
