Mazabuka  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Yesterday
9:15  -  9:29,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
11:45  -  11:59,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
8:45  -  8:59,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
9:45  -  9:59,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
9:30  -  9:44,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
6:30  -  6:44,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
20:00  -  20:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
9:00  -  9:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
8:30  -  8:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
8:15  -  8:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
8:45  -  8:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:00  -  18:14,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
7:00  -  7:14,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
20:45  -  20:59,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:00  -  20:14,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:30  -  20:44,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:00  -  21:14,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
19:30  -  19:44,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
19:15  -  19:29,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
18:45  -  18:59,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
19:00  -  19:14,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
19:45  -  19:59,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:15  -  20:29,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
10:15  -  10:29,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:30  -  10:44,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:00  -  10:14,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:15  -  12:29,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:00  -  12:14,60779740,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
