Chimwemwe  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Yesterday
21:45  -  21:59,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59"
9:00  -  9:14,60675558,Copperbelt,Ndola,Rural,Female,1,None,C2,Some primary school,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:30  -  9:44,60675558,Copperbelt,Ndola,Rural,Female,1,None,C2,Some primary school,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:15  -  9:29,60675558,Copperbelt,Ndola,Rural,Female,1,None,C2,Some primary school,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
21:15  -  21:29,60678724,Copperbelt,Ndola,Rural,Female,1,None,AB,Some primary school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60678724,Copperbelt,Ndola,Rural,Female,1,None,AB,Some primary school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60678724,Copperbelt,Ndola,Rural,Female,1,None,AB,Some primary school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60678724,Copperbelt,Ndola,Rural,Female,1,None,AB,Some primary school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6:00  -  6:14,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,9:15  -  9:29"
9:15  -  9:29,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,"6:00  -  6:14,9:15  -  9:29"
17:30  -  17:44,60773938,Copperbelt,Ndola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60773938,Copperbelt,Ndola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60773938,Copperbelt,Ndola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7:15  -  7:29,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:45  -  6:59,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
12:00  -  12:14,82105049,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C2,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,13:15  -  13:29"
13:15  -  13:29,82105049,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C2,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,13:15  -  13:29"
8:45  -  8:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,8:45  -  8:59
19:15  -  19:29,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:00  -  18:14,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:45  -  18:59,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:30  -  18:44,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:15  -  18:29,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:00  -  19:14,82180022,Copperbelt,Kitwe,Urban,Male,1,None,D,Some primary school,Other Christian,Student,D,Refusal [Do not show],No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:15  -  19:29,82181719,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,82181719,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,82181719,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,82181719,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
10:45  -  10:59,82182407,Copperbelt,Ndola,Urban,Male,2,One,C2,Some high school,Other Christian,Student,C2,"K 43,168 and above",Yes,25 – 34,10:45  -  10:59
11:30  -  11:44,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,11:30  -  11:44
18:45  -  18:59,82360812,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,82360812,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,82360812,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,82360812,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,82361936,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,82361936,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,82361936,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,82361936,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,82449548,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:00  -  19:14,82449548,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
