Icengelo  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Sunday
21:30  -  21:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:45  -  18:59,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:30  -  18:44,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18:15  -  18:29,82366767,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
6:45  -  6:59,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:15  -  7:29,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,82369186,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
