Flava FM  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Flava FM  Thursday
10:30  -  10:44,82205279,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,A subsistence farmer/fisherman,C2,"K 3,891  -  K 4,627",No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:30  -  9:44,82205279,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,A subsistence farmer/fisherman,C2,"K 3,891  -  K 4,627",No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,82205279,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,A subsistence farmer/fisherman,C2,"K 3,891  -  K 4,627",No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
20:30  -  20:44,82205281,Copperbelt,Kitwe,Urban,Female,2,None,C2,Some high school,Other Christian,A housewife/househusband,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,82205281,Copperbelt,Kitwe,Urban,Female,2,None,C2,Some high school,Other Christian,A housewife/househusband,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,82205281,Copperbelt,Kitwe,Urban,Female,2,None,C2,Some high school,Other Christian,A housewife/househusband,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
10:45  -  10:59,82271219,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,10:45  -  10:59
7:15  -  7:29,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,7:15  -  7:29
20:30  -  20:44,82278964,Copperbelt,Kitwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
23:30  -  23:44,82278964,Copperbelt,Kitwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
