BBC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC  Monday
22:15  -  22:29,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:00  -  22:14,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:45  -  22:59,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
8:00  -  8:14,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:00  -  7:14,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:15  -  7:29,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
6:45  -  6:59,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:45  -  7:59,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:30  -  7:44,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
9:15  -  9:29,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:00  -  8:14,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7:00  -  7:14,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:30  -  6:44,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
