Iwave analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iwave
20:45  -  20:59,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
20:00  -  20:14,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:00  -  21:14,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:30  -  21:44,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:15  -  21:29,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
20:30  -  20:44,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:45  -  21:59,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
9:15  -  9:29,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
9:45  -  9:59,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:15  -  10:29,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:00  -  10:14,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
9:30  -  9:44,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
9:00  -  9:14,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:45  -  10:59,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:30  -  10:44,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
9:15  -  9:29,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
8:00  -  8:14,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:45  -  9:59,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
8:45  -  8:59,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
8:15  -  8:29,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:30  -  9:44,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
8:30  -  8:44,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:00  -  9:14,60784146,Copperbelt,Chingola,Urban,Female,2,None,C1,No formal education,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
20:15  -  20:29,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
20:45  -  20:59,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
20:00  -  20:14,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
21:00  -  21:14,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
21:30  -  21:44,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
22:00  -  22:14,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
21:15  -  21:29,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
20:30  -  20:44,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
21:45  -  21:59,60848520,Copperbelt,Chingola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,19 – 24,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,"
20:15  -  20:29,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
20:45  -  20:59,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
20:00  -  20:14,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
21:00  -  21:14,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
21:15  -  21:29,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
20:30  -  20:44,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,"
