Yar analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar
9:15  -  9:29,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
18:30  -  18:44,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,",,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,"
18:15  -  18:29,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,",,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,"
18:45  -  18:59,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,",,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,"
19:00  -  19:14,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,",,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,"
18:00  -  18:14,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,",,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,,,,"
11:15  -  11:29,60635720,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,"11:15  -  11:29,7:00  -  7:14,,,7:30  -  7:44,,,6:15  -  6:29,"
7:30  -  7:44,60635720,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,"11:15  -  11:29,7:00  -  7:14,,,7:30  -  7:44,,,6:15  -  6:29,"
7:00  -  7:14,60635720,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,"11:15  -  11:29,7:00  -  7:14,,,7:30  -  7:44,,,6:15  -  6:29,"
6:15  -  6:29,60635720,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,"11:15  -  11:29,7:00  -  7:14,,,7:30  -  7:44,,,6:15  -  6:29,"
10:45  -  10:59,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,8:00  -  8:14,10:45  -  10:59"
8:00  -  8:14,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,8:00  -  8:14,10:45  -  10:59"
12:00  -  12:14,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
13:00  -  13:14,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
12:15  -  12:29,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
11:30  -  11:44,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
