,E! Entertainment  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Friday
64,19:45  -  19:59,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
65,20:15  -  20:29,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
66,20:30  -  20:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
67,19:00  -  19:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
68,19:15  -  19:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
69,19:30  -  19:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
70,20:00  -  20:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
71,20:45  -  20:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
72,19:45  -  19:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
73,20:15  -  20:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
