,E! Entertainment  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Saturday
44,17:15  -  17:29,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
45,16:30  -  16:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
46,20:00  -  20:14,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29"
47,20:15  -  20:29,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29"
48,19:45  -  19:59,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
49,20:00  -  20:14,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
50,20:15  -  20:29,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
51,14:15  -  14:29,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
52,14:45  -  14:59,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
53,15:00  -  15:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
