,Discovery Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Yesterday
35,13:30  -  13:44,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
36,13:00  -  13:14,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
37,13:15  -  13:29,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
38,11:45  -  11:59,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
39,12:15  -  12:29,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
40,12:30  -  12:44,60727074,Southern,Livingstone,Urban,Female,0,None,C1,Some university,Others,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
41,21:15  -  21:29,60831231,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some university,Other Christian,Student,D,K 850-K 1674,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
42,20:15  -  20:29,60831231,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some university,Other Christian,Student,D,K 850-K 1674,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
43,21:00  -  21:14,60831231,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some university,Other Christian,Student,D,K 850-K 1674,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
44,21:30  -  21:44,60831231,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some university,Other Christian,Student,D,K 850-K 1674,Yes,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
