,CNN  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CNN  Sunday
98,7:45  -  7:59,134851888,Central,Mkushi,Rural,Male,1,,DE,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
99,19:30  -  19:44,134851888,Central,Mkushi,Rural,Male,1,,DE,Secondary,Other,Not employed,D,"K 1675- K2,499",,15 – 18,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
100,6:15  -  6:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
101,7:15  -  7:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
102,19:00  -  19:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
103,13:45  -  13:59    18:00  -  18:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
104,18:15  -  18:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
105,6:30  -  6:44,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
106,18:30  -  18:44,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
107,13:30  -  13:44,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
108,6:00  -  6:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
109,6:45  -  6:59,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
110,18:45  -  18:59,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
111,19:45  -  19:59                                           7:00  -  7:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
112,19:15  -  19:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
113,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
114,7:00  -  7:14,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
115,13:15  -  13:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
116,7:30  -  7:44,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
117,7:45  -  7:59,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
118,19:30  -  19:44,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59    18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                           7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                                                                                                                                                                                                              "
