,Hope Channel  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Wednesday
39,11:15  -  11:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
40,10:45  -  10:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
41,11:00  -  11:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
42,11:30  -  11:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
43,10:15  -  10:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
44,11:45  -  11:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
45,10:00  -  10:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
46,10:30  -  10:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
47,19:00  -  19:14,82013391,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
48,6:00  -  6:14,82013391,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
