SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60861544,"BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice,", ,"Parliament,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice,",None,None,None,"Lutanda,Kwithu FM,Radio Mano"
60863462,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano"
60863463,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice"
60863464,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",None,None,"Lutanda,Kwithu FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM"
60863465,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice",None,None,Radio Mano,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60877285,"KNC,Maranatha,Power,Other Specify,",Cloud Fm,"Phoenix,Q FM,Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Power,Q FM,{0}","KNC,Power,{0}","KNC,Power,{0}","KNC,Phoenix,Power,Q FM,{0}","KNC,Phoenix,Power,Q FM,{0}"
60886274,"Maria,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,", ,"BBC,Breeze,Chikaya,Feel Free,Mphangwe,Parliament,Parliament,Radio 4,Radio Christian Voice,Valley,","Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,","Maria,Petauke Explorers,Radio 1","Maria,Petauke Explorers,Radio 1","Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 1","Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2"
60886275,"Breeze,Petauke Explorers,", ,"Chikaya,Feel Free,Maria,Mphangwe,Parliament,PASME,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Valley,","Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice",Maria,"PASME,Petauke Explorers,Radio 1","Breeze,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 3","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60886276,"Maria,Petauke Explorers,", ,"Breeze,Mphangwe,Parliament,PASME,Radio 1,Radio 2,Radio 4,","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4","Maria,Petauke Explorers","Maria,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2"
60886277,"Breeze,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,", ,"BBC,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Parliament,Q FM,Radio Christian Voice,Valley,","BBC,Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,Breeze,"Breeze,PASME,Petauke Explorers,Radio 1","Breeze,PASME,Petauke Explorers,Radio 1"
