SbjNum,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Billboards make the environment look colourful,I trust a brand/product that is advertised on a billboard,I’m more likely to buy a brand/product that is advertised on a billboard,I find brand/product information on a billboard useful,Billboards too close to each other make the environment look cluttered or messy,I remember the billboard adverts when I see the product/brand on the shelf in a store
60515652,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Longer Ago,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Longer Ago,plan,,,rent to own,,,ratsa,bullet,,,,,pepsi,,,,,nil,Agree,Agree,Agree,Agree,Disagree,Agree
60515653,Yesterday,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Longer Ago,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,safe,,,nutri feeds,,,,go tv,,nil,,,airtel,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,DK (DON’T READ)
60515654,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Past 7 Days,Past 7 Days,Longer Ago,Past 4 Weeks,Not seen,Not seen,Yesterday,Not seen,Not seen,Longer Ago,Longer Ago,Past 7 Days,MTN,,,Lusaka drilling,,,nil,universal talktime,nil,local witch doctor,,,pall mall cigarete,,,nil,nil,Lotto,Agree,DK (DON’T READ),Agree,Agree,Strongly Agree,DK (DON’T READ)
60515655,Yesterday,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Past 3 months,Yesterday,Not seen,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,ZESCO,,,SUNDANCE,,,can't remember,boom,,,,,mtn,,,,,,Agree,Agree,Agree,Agree,DK (DON’T READ),Agree
60515656,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,ZESCO,,,u rest foam,,,,,nil,,,,mtn,,,,,,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
60515728,Past 7 Days,Not seen,Not seen,Past 7 Days,Not seen,Not seen,Past 7 Days,Past 7 Days,Not seen,Past 7 Days,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Past 4 Weeks,Yesterday,MTN,,,BULLET,,,APPY APPLE,BULLET,,MTN,,,MTN,,,,CASTLE,cant remember,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
60516534,Yesterday,Past 4 Weeks,Past 7 Days,Yesterday,Not seen,Not seen,Yesterday,Yesterday,Past 7 Days,Yesterday,Longer Ago,Past 7 Days,Not seen,Not seen,Not seen,Longer Ago,Not seen,Past 4 Weeks,Samsung advert,street lights,mtn adverts,boom,,,RTSA adverts,boom,Go tv,advertising phones accessories,dont remember,mtn spaka,,,,dont remember,,lotto draws,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
60516535,Longer Ago,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,dragon drinkn,dont remember,dont remember,dont remember,,,,,,dont remember,,dont remember,dont remember,,,dont remember,dont remember,dont remember,Agree,Agree,DK (DON’T READ),Agree,Agree,Agree
60516536,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,Past 4 Weeks,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
60516537,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Not seen,Yesterday,Yesterday,Yesterday,Yesterday,Not seen,Yesterday,Past 3 months,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,football things,"shoprite, mr price adverts",adverts,dont remember,,,dont remember,dont remember,dont remember,dont remember,,dont remember,dont remember,,,dont remember,dont remember,dont remember,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
60516538,Past 3 months,Longer Ago,Longer Ago,Past 3 months,Not seen,Not seen,Longer Ago,Longer Ago,Not seen,Past 3 months,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Longer Ago,Longer Ago,Longer Ago,MTN,dont remember,dont remember,dont remember,,,dont remember,dont remember,,dont remember,,dont remember,dont remember,,,dont remember,dont remember,dont remember,Strongly Agree,Agree,Agree,Agree,Agree,Agree
