SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60567443,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60567549,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60567584,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60573808,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60573809,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60573810,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60573811,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60573812,"BancABC Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)", ,"BancABC Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)",ZANACO (Zambia National Commercial Bank Plc),,,Neither satisfied or dissatisfied,,,,,,,,,,,,,,,,Very satisfied,,,
60574148,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60574364,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60574845,"Finance Bank Zambia Limited,United Bank for Africa Zambia Limited", ,"Finance Bank Zambia Limited,United Bank for Africa Zambia Limited","Finance Bank Zambia Limited,United Bank for Africa Zambia Limited",,,,,,,,,Very satisfied,,,,,,,,,Satisfied,,,,
60574952,Standard Chartered Bank Zambia Plc, ,Standard Chartered Bank Zambia Plc,Standard Chartered Bank Zambia Plc,,,,,,,,,,,,,,,,,Very satisfied,,,,,
60575252,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)","First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,Very satisfied,,,,,,,,Very satisfied,,,
60575525,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60576616,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60576696,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60576732,Barclays Bank Zambia Plc, ,Barclays Bank Zambia Plc,Barclays Bank Zambia Plc,,,,,Satisfied,,,,,,,,,,,,,,,,,
