,SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
3536,134947085,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3537,134987542,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3538,135026251,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3539,135026252,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3540,135026253,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3541,135026254,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3542,135027905,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3543,135028050,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3544,135028580,,,,nan,,
3545,135028582,Zee World,"African magic,Zee World",,nan,,",African magic    ,,Zee World  ,"
3546,135028583,,,,nan,,
3547,135036598,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3548,135037757,,,,nan,,
3549,135074062,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3550,135082282,,"African Movie Channel AMC,",,nan,,",African Movie Channel AMC      ,"
3551,135117571,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3552,135117575,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3553,135118312,,,,nan,,
3554,135142316,,"Zee World,",",Zee World  ,",nan,,
3555,135149767,Zee World,"African magic,Zee World",,",African magic  ,Zee World  ,",,
3556,135034795,,,,nan,,
3557,135090630,"Novela E1, Star Bollywood, Star KungFu 1, Star Movies 1, Star Novela E1, Star Novela E3, ZNBC TV1                                                                                     , ","M-Net Movies Zone,Novela E1, Star Bollywood, Star KungFu 1, Star Movies 1, Star Novela E1, Star Novela E3, ZNBC TV1                                                                                     , ",,",M-Net Movies Zone   ,Novela E1  ,Star Bollywood    ,Star KungFu 1, Star Movies 1  ,Star Novela E1, Star Novela E3    ,ZNBC TV 1  ",,
3558,134822864,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3559,134822865,"M-Net Movies Action +, Muvi TV, SuperSport 4, ZNBC TV 2, ZNBC TV1, Zambezi Magic                                                                                     , , ","M-Net Movies Action,M-Net Movies Action +, Muvi TV, SuperSport 4, ZNBC TV 2, ZNBC TV1, Zambezi Magic",,nan,",M-Net Movies Action       ,M-Net Movies Action +       ,Muvi TV ,SuperSport 4    ,ZNBC TV 2  ,ZNBC TV1  Wa,Zambezi Magic  ",
3560,134724877,,,,nan,,
3561,134849789,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3562,134881832,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3563,134994986,"African Movie Channel AMC, One Music, Zee World, ZNBC TV 2, ZNBC TV1                                                                                      ","African magic,African Movie Channel AMC, One Music, Zee World, ZNBC TV 2, ZNBC TV1                                                                                      ",,nan,,",African magic    African Movie Channel AMC      ,One Music  ,Zee World  ,ZNBC TV 2  ,ZNBC TV1  "
3564,135090632,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3565,135119163,"African Movie Channel AMC, Emmanuel TV, Hope Channel, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                     , ","African magic,African Movie Channel AMC, Emmanuel TV, Hope Channel, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                     , ",",African magic  African Movie Channel AMC      ,Emmanuel TV ,Hope Channel    ,Zee World  ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  ",nan,,
3566,135166578,ZNBC TV1,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3567,134788039,,,,nan,,
3568,134832101,"ZNBC TV 2, ZNBC TV1                                                                                       ","Parliament TV,ZNBC TV 2, ZNBC TV1                                                                                       ",,",ZNBC TV 1  ",",Parliament TV  ,",",ZNBC TV 2  ,"
3569,135045883,,,,nan,,
3570,135046402,Zee World,"African Movie Channel AMC,Zee World",,nan,,",African Movie Channel AMC      ,Zee World  ,"
3571,135120178,"ZNBC TV1, Zambezi Magic                                                                                       ","ZNBC TV1,",,nan,,",ZNBC TV1  "
3572,134723451,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3573,135119157,Hope Channel,"Emmanuel TV,Hope Channel",,",Emmanuel TV ,Hope Channel    ,",,
3574,135144863,"E Africa, Zee World, ZNBC TV 2, ZNBC TV1                                                                                      , ","African magic,E Africa, Zee World, ZNBC TV 2, ZNBC TV1                                                                                      , ",",African magic  ,E Africa  ,Zee World  ,",",ZNBC TV 2  ,",,",ZNBC TV1  "
3575,134724878,"ZNBC TV 2, ZNBC TV1                                                                                       ","African magic,ZNBC TV 2, ZNBC TV1                                                                                       ",",African magic  ,ZNBC TV 2  ,ZNBC TV1  ",nan,,
3576,135144862,"City Channel Cable Network TV, Diamond TV, M-Net Movies Zone, Zee World                                                                                      , ","African magic,City Channel Cable Network TV, Diamond TV, M-Net Movies Zone, Zee World                                                                                      , ",",African magic  ,City Channel Cable Network TV      Apart from today, when was the last time you watched {0} by watching TV we mean that you personally watched television, either part or all of a programm either on your own set or one else's - either at hom,Diamond TV ,",nan,",M-Net Movies Zone   ,Zee World  ,",
3577,134849791,"African Movie Channel AMC, ZNBC TV1                                                                                       ","African magic,African Movie Channel AMC, ZNBC TV1                                                                                       ",",African magic  African Movie Channel AMC      ,ZNBC TV1  ",nan,,
3578,134851892,,,,nan,,
3579,134855509,"Trace Muzik, Zee World                                                                                       ","African magic,Trace Muzik, Zee World                                                                                       ",",African magic  ,Trace Muzik ,Zee World  ,",nan,,
3580,135092932,ZNBC TV1,"ZNBC TV 2,ZNBC TV1",",ZNBC TV 2  ,ZNBC TV1  ",nan,,
3581,134832104,ZNBC TV1,"Emmanuel TV,ZNBC TV1",",Emmanuel TV ,ZNBC TV1  ",nan,,
3582,135075176,,,,nan,,
3583,135090633,ZNBC TV1,"ZNBC TV 2,ZNBC TV1",,nan,,",ZNBC TV 2  ,ZNBC TV1  "
3584,135076267,"Baby TV, Bollywood, Diamond TV, Jim Jam, Star Novela E1, ZNBC TV 2, ZNBC TV1                                                                                     , ","African Movie Channel AMC,Baby TV, Bollywood, Diamond TV, Jim Jam, Star Novela E1, ZNBC TV 2, ZNBC TV1                                                                                     , ",,nan,",African Movie Channel AMC      ,Baby TV ,Bollywood  ,Diamond TV ,Jim Jam ,Star Novela E1    ,ZNBC TV 2  ,ZNBC TV1  ",
3585,135034796,,,,nan,,
3586,135174802,"City Channel Cable Network TV, Zee World                                                                                       ","African magic,City Channel Cable Network TV, Zee World                                                                                       ",,nan,",African magic  ,City Channel Cable Network TV      Apart from today, when was the last time you watched {0} by watching TV we mean that you personally watched television, either part or all of a programm either on your own set or one else's - either at hom,Zee World  ,",
3587,135047480,,,,nan,,
3588,135152873,"African Movie Channel AMC, Life TV, M-Net Movies Zone, Star KungFu 1, Star Plus, Star Series E1, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                    , , ","African magic,African Movie Channel AMC, Life TV, M-Net Movies Zone, Star KungFu 1, Star Plus, Star Series E1, ZNBC TV 2, ZNBC TV 3, ZNBC TV1",,nan,",,ZNBC TV 3  ZNBC TV1  ",",African magic    African Movie Channel AMC      ,Life TV ,M-Net Movies Zone   ,Star KungFu 1    ,Star Plus  Star Series E1    ,ZNBC TV 2  ,"
3589,134922015,,,,nan,,
3590,134822859,"African Movie Channel AMC, Al Jazeera, BBC World News, Channel O, France 24, M-Net Movies Action, SuperSport 4, SuperSport 7, Supersport Blitz, Trace Urban, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                   ","African magic,African Movie Channel AMC, Al Jazeera, BBC World News, Channel O, France 24, M-Net Movies Action, SuperSport 4, SuperSport 7, Supersport Blitz, Trace Urban, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                   ",",Zee World  ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  ",",Al Jazeera ,Channel O  ,France 24  ,M-Net Movies Action       ,Trace Urban ,",",African magic  African Movie Channel AMC      ,SuperSport 4    ,SuperSport 7    ,Supersport Blitz   ,",",BBC World News    ,,"
3591,135190042,"MTV, SuperSport 3, SuperSport 4, Telemundo, Zee World                                                                                      ","African magic,MTV, SuperSport 3, SuperSport 4, Telemundo, Zee World                                                                                      ",",African magic  ,Telemundo  ,Zee World  ,",",MTV,SuperSport 3    ,SuperSport 4    ,",,
3592,134881830,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3593,135041545,Zee World,"Telemundo,Zee World",,nan,,",Telemundo  ,Zee World  ,"
3594,134900751,ZNBC TV1,"Zee World,ZNBC TV1",,",Zee World  ,ZNBC TV 1  ",,
3595,134879248,"Zee World, ZNBC TV1                                                                                       ","Fox Movies,Zee World, ZNBC TV1                                                                                       ",",Fox Movies ,Zee World  ,ZNBC TV1  ",nan,,
3596,134849796,"African Movie Channel AMC, Emmanuel TV, Novela E1, ZNBC TV1                                                                                      , ","African magic,African Movie Channel AMC, Emmanuel TV, Novela E1, ZNBC TV1                                                                                      , ",,",African magic, African Movie Channel AMC      ,Emmanuel TV ,Novela E1  ,ZNBC TV 1  ",,
3597,135041423,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3598,134788044,"Diamond TV, Muvi TV, ZNBC TV 2                                                                                      , , ","CBC TV,Diamond TV, Muvi TV, ZNBC TV 2 ",,nan,,",CBC TV ,Diamond TV ,Muvi TV ,ZNBC TV 2  ,"
3599,134824346,,,,nan,,
3600,134957703,,,,nan,,
3601,135090631,"African Movie Channel AMC, Zee World, ZNBC TV1                                                                                      , , ","African magic,African Movie Channel AMC, Zee World, ZNBC TV1 ",,",African magic, African Movie Channel AMC      ,Zee World  ,ZNBC TV 1  ",,
3602,135046403,"Emmanuel TV, MTV, Novela E1, Telemundo, Zee Cinema, Zee World                                                                                     , , ","AMC Series,Emmanuel TV, MTV, Novela E1, Telemundo, Zee Cinema, Zee World",",AMC Series ,,",nan,",Emmanuel TV ,MTV,Novela E1  ,Telemundo  ,Zee Cinema ,Zee World  ,",
3603,134824344,"Bollywood, StarTimes Bollywood HD, Zee World, Zambezi Magic                                                                                      , ","African magic,Bollywood, StarTimes Bollywood HD, Zee World, Zambezi Magic                                                                                      , ",,nan,",African magic  ,Bollywood  ,StarTimes Bollywood HD       ,Zee World  ,Zambezi Magic  ",
3604,135106731,"Zee World, ZNBC TV 2, ZNBC TV1                                                                                      , , ","StarTimes Music,Zee World, ZNBC TV 2, ZNBC TV1 ",",Zee World  ,ZNBC TV 2  ,ZNBC TV1  ",",StarTimes Music    ,",,
3605,135085244,"ZNBC TV 3, ZNBC TV1                                                                                       ","ZNBC TV 2,ZNBC TV 3, ZNBC TV1                                                                                       ",,nan,,",ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3606,135122214,"Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ","African magic,Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ",,nan,,",African magic    ,,Zee World  ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3607,134779692,,,,nan,,
3608,134900756,,,,nan,,
3609,134577936,,"1 Music,",,nan,"1 Music ,",
3610,134577993,,"1 Music,","1 Music ,",nan,,
3611,134591769,"3 Stones TV, African magic, African Movie Channel AMC, AMC Series, AMC USA, Animal Planet, B4U Movies, Baby TV, Bakadoli, Bakadolo, BBC Brit, BBC Earth, BBC First, BBC Lifestyle, BBC World News, BET, BET International, Beta TV, Bloomberg, Bollywood, Boomerang, Bostv, Box, Brazil, Bukedde TV1, Capital TV, Cartoon network, CBC TV, Cbeebies, CBS TV, CCTV News, CCTV-4 Chinese, Channel ED, Channel O, Channel Ten, Chipata, Citizen TV, City Channel Cable Network TV, Classic Music TV, Classica, Clouds TV, CNBC, CNN, Combo, Comedy Central, Crime + Investigation, Da Vinci Learning, Datah, Deen TV, Diamond TV, Discovery Channel, Discovery Family, Discovery IDX, Discovery Science, Disney Channel, Disney XD, Duck TV, DW-TV, E Africa, E! Entertainment, EA TV, Ebony Life TV, EBRU, Echo TV, Emmanuel TV, ESPN, E-Stars, Euro News English, Euro Sport News, Eva English, Extreme Sports Channel, Family TV, Fashion One, Fashion TV, Fine Living Network, Food Network, Football Tv, Fox, Fox Crime, Fox Entertainment, Fox Movies, Fox Movies +2, Fox News, Fox Sports, Fox Sports 2, France 24, Fuel TV- Sports channel, FX, GBS, Ginx TV, Glam, Glow TV, Gospel Music TV, History, Hope Channel, Hossana Tv, I 24 News, iConcerts, ID Investigation Discovery, Ignition, Inspiration TV, ITV Choice, Jim Jam, Joy TV, K24, Kaaba TV, Kass TV, KBC, Kiss, Kiss KE, KTN, KTN News, Learn Tv, Life TV, Lifetime, Living Foodz, Lolwe TV, Luso TV, Magic, MBC, Mindset, Miracle Tv, M-Net, M-Net City, M-Net Edge, M-Net Movies Action, M-Net Movies Action +, M-Net Movies Comedy, M-Net Movies Family, M-Net Movies Premier, M-Net Movies Romance, M-Net Movies Showcase, M-Net Movies Stars, M-Net Movies Zone, Mobi Tv, MSNBC, MTV, MTV Base, Music, Muvi Combo, Muvi Education, Muvi Muvis, Muvi Nkani, Muvi Novela, Muvi Nyimbo, Muvi Prism Africa, Muvi TV, Muvi Yanga, MUVIZ, My TV, Mzansi, Nat Geo Gold, Nat Geo Wild, National Geographic Channel, Natura, NBA TV, Nick Jr, Nickelodeon, NKHANI, North-Western TV, Novela E1, NTV, Nyimbo Channel, One Gospel, One Music, Parliament TV, Peace TV, Peoples Weather, POP, Press Tv, Prime Television, Prism Africa, Q TV, QTV Zambia, SABC, Sky News, Smash Hits, Smile of a Child, Sony Entertainment, Sony Max, Soweto TV, Spark, Star Africa 2, Star Bollywood, Star Chinese 2, Star Movies 1 +2Hrs, Star Novela E1, Star Novela E3, Star One, Star Plus, Star Series E1, Star Zone- movies, StarTimes Bollywood HD, StarTimes Dadin Kowa, StarTimes Gospel, StarTimes Music, StarTimes SA Music, StarTimes Soul, Studio Universal, STV Guide, SuperSport, SuperSport 1, SuperSport 2, SuperSport 3, SuperSport 4, SuperSport 5, SuperSport 6, SuperSport 7, SuperSport 8, SuperSport 9, Supersport Blitz, SuperSport maximo, SuperSport Select, TBC 1, TBN, TCM, Telemundo, Telly Track, The Home Channel, Times Now, Times TV, TLC Entertainment, Trace Gospel, Trace Muzik, Trace Sports Stars, Trace Urban, Travel Channel, True Movies 1, TV Sibuka, TVC News, UBC, Universal Channel, VH1 Classic, VIA, Viasat Crime, Viasat Explore, Viasat History, Viasat Nature, Vuzu, Vuzu AMP, Wap TV, WBS, World Football, Zee Cinema, Zee World, Zing, ZNBC TV 2, ZNBC TV 3, ZNBC TV1, Zodiak TV, Zuku Entertainment, Zuku Kids, Zuku Life, Zuku Movies Action, Zuku Movies Family, Zuku Movies Max, Zuku Nolly, Zuku Novella, Zuku Sports, Zuku Swahili Movies, Zuku Zone, Zambezi Magic, Cavmount","ZNBC TV 2,ZNBC TV 3, ZNBC TV1, Zuku Entertainment, Zuku Kids, Zuku Life, Zuku Movies Action, Zuku Movies Family, Zuku Movies Max, Zuku Nolly, Zuku Novella, Zuku Sports, Zuku Swahili Movies, Zuku Zone                                                                                   , ",",Zuku Entertainment       er,Zuku Kids  Zuku Life  Zuku Movies Action       er,Zuku Movies Family       er,Zuku Movies Max    Zuku Nolly ,Zuku Novella    ,Zuku Sports ,Zuku Swahili Movies       Zuku Zone  ,",",ZNBC TV 2, ZNBC TV 3, ZNBC TV 1  ",,
3612,134610523,"CNN, Emmanuel TV, National Geographic Channel, Prime Television, Star Series E1, TLC Entertainment, ZNBC TV 2, ZNBC TV1                                                                                     ","BBC World News,CNN, Emmanuel TV, National Geographic Channel, Prime Television, Star Series E1, TLC Entertainment, ZNBC TV 2, ZNBC TV1                                                                                     ",",BBC World News    ,CNN ,Emmanuel TV ,TLC Entertainment   ,ZNBC TV 2  ,ZNBC TV1  ",",National Geographic Channel      ,",",Star Series E1    ,",",Prime Television   ,"
3613,134633297,"African Movie Channel AMC, AMC Series, SuperSport 1, SuperSport 2, SuperSport 3, SuperSport 4, SuperSport 5, SuperSport 6, SuperSport 7, SuperSport 9, ZNBC TV 2, ZNBC TV1                                                                                   , , ","African magic,SuperSport 1, ZNBC TV1                                                                                       ",,",ZNBC TV 1  ",",SuperSport 1    ,",",African magic    ,,"
3614,134638217,"M-Net Movies Zone, World Football, ZNBC TV 2, ZNBC TV 3, ZNBC TV1, Zambezi Magic                                                                                     , , ","African magic,M-Net Movies Zone, World Football, ZNBC TV 2, ZNBC TV 3, ZNBC TV1, Zambezi Magic",",African magic  ,M-Net Movies Zone   ,World Football    ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  Wa,Zambezi Magic  ",nan,,
3615,134640519,"ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , , ","Zee World,ZNBC TV 2, ZNBC TV 3, ZNBC TV1 ",,nan,,",Zee World  ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3616,134640520,"ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , , ","Muvi TV,ZNBC TV 2, ZNBC TV 3, ZNBC TV1 ",,nan,,",Muvi TV ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3617,134640521,"ZNBC TV 3, ZNBC TV1                                                                                       ","ZNBC TV 2,ZNBC TV 3, ZNBC TV1                                                                                       ",,nan,,",ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3618,134651609,,,,nan,,
3619,134656392,,,,nan,,
3620,134662571,,,,nan,,
3621,134670115,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3622,134675350,,,,nan,,
3623,134679448,"Prime Television, ZNBC TV1                                                                                       ","Muvi TV,Prime Television, ZNBC TV1                                                                                       ",,nan,,",Muvi TV ,Prime Television   ,ZNBC TV1  "
3624,134701561,"E-Stars, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ","E Africa,E-Stars, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ",",ZNBC TV 2  ZNBC TV 3  ZNBC TV1  ",",E Africa,E-Stars ,",,
3625,134701671,"ZNBC TV 3, ZNBC TV1                                                                                       ","ZNBC TV 2,ZNBC TV1",,nan,,",ZNBC TV 2  ,ZNBC TV1  "
3626,134733977,"Prime Television, SuperSport, ZNBC TV 2, ZNBC TV1                                                                                      , ","CBC TV,ZNBC TV1",,nan,,",CBC TV ,ZNBC TV1  "
3627,134734803,"Muvi TV, SuperSport Select, ZNBC TV 2, ZNBC TV1                                                                                      , ","BBC World News,Muvi TV, SuperSport Select, ZNBC TV 2, ZNBC TV1                                                                                      , ",,nan,,",BBC World News    ,Muvi TV ,SuperSport Select   ,ZNBC TV 2  ,ZNBC TV1  "
3628,134777584,,,,nan,,
3629,134788045,,,,nan,,
3630,134800880,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3631,134807528,,,,nan,,
3632,134820847,"SuperSport, Zee World                                                                                       ","African magic,SuperSport, Zee World                                                                                       ",,nan,,",African magic    ,SuperSport ,Zee World  ,"
3633,134820848,,,,nan,,
3634,134820908,,,,nan,,
3635,134832100,"Zee World, ZNBC TV1                                                                                       ","African magic,Zee World, ZNBC TV1                                                                                       ",,nan,,",African magic    ,,Zee World  ,ZNBC TV1  "
3636,134832105,"Star Series E1, Zee World                                                                                       ","African magic,Star Series E1, Zee World                                                                                       ",",African magic  ,Zee World  ,",",Star Series E1    ,",,
3637,134849794,"African Movie Channel AMC, M-Net Movies Zone, Telemundo, Zee World                                                                                      , ","African magic,African Movie Channel AMC, M-Net Movies Zone, Telemundo, Zee World                                                                                      , ",",African magic  African Movie Channel AMC      ,M-Net Movies Zone   ,Telemundo  ,Zee World  ,",nan,,
3638,134850571,ZNBC TV1,"Zee World,ZNBC TV1",",Zee World  ,ZNBC TV1  ",nan,,
3639,134851075,,,,nan,,
3640,134855504,,,,nan,,
3641,134855849,"Disney Channel, Zambezi Magic                                                                                       ","African magic,Disney Channel, Zambezi Magic                                                                                       ",",African magic  ,Disney Channel    ,Zambezi Magic  ",nan,,
3642,134855850,,"ZNBC TV1,",,",ZNBC TV 1  ",,
3643,134879249,,"ZNBC TV1,",,nan,",ZNBC TV1  ",
3644,134881827,"SuperSport 5, SuperSport 6, SuperSport 7, SuperSport 8, SuperSport 9, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                    , , ","SuperSport 3,SuperSport 5, SuperSport 6, SuperSport 7, SuperSport 8, SuperSport 9, Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1",",ZNBC TV 2  ZNBC TV 3  ZNBC TV1  ",nan,,",SuperSport 3    ,SuperSport 5    ,SuperSport 6    ,SuperSport 7    ,SuperSport 8    ,SuperSport 9    ,Zee World  ,"
3645,134881829,"Parliament TV, Star One, Telemundo, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                     , , ","Novela E1,Parliament TV, Star One, Telemundo, ZNBC TV 2, ZNBC TV 3, ZNBC TV1",",Novela E1  ,Parliament TV  ,Star One  ,Telemundo  ,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  ",nan,,
3646,134881831,African Movie Channel AMC,"African magic,African Movie Channel AMC",",African magic  African Movie Channel AMC      ,",nan,,
3647,134891766,,,,nan,,
3648,134900754,,"Zee World,",",Zee World  ,",nan,,
3649,134901776,,,,nan,,
3650,134904364,"BBC World News, BET, E! Entertainment, Telemundo, Zee World, ZNBC TV1, Zambezi Magic                                                                                     , ","African magic,BBC World News, BET, E! Entertainment, Telemundo, Zee World, ZNBC TV1, Zambezi Magic                                                                                     , ",",African magic  ,E! Entertainment   ,Zee World  ,ZNBC TV1  Wa,Zambezi Magic  ",",BBC World News, BET ,",",Telemundo  ,",
3651,134904366,ZNBC TV1,"Zee World,ZNBC TV1",",Zee World  ,ZNBC TV1  ",nan,,
3652,134944870,,,,nan,,
3653,134953023,,"Zee Cinema,",,",,Zee Cinema ,",,
3654,134953626,"Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ","African magic,Zee World, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , ",",African magic  ,ZNBC TV 2  ,",",Zee World  ,ZNBC TV 3, ZNBC TV 1  ",,
3655,134953711,ZNBC TV1,"ZNBC TV 2,ZNBC TV1",,nan,,",ZNBC TV 2  ,ZNBC TV1  "
3656,134957698,,,,nan,,
3657,134957700,,,,nan,,
3658,134957701,,,,nan,,
3659,134957702,"Zee World, ZNBC TV1                                                                                       ","Muvi TV,Zee World, ZNBC TV1                                                                                       ",,nan,,",Muvi TV ,Zee World  ,ZNBC TV1  "
3660,134962411,"E! Entertainment, M-Net Movies Action, M-Net Movies Zone, SuperSport, SuperSport 1, SuperSport 2                                                                                     , , ","BBC World News,E! Entertainment, M-Net Movies Action, M-Net Movies Zone, SuperSport, SuperSport 1, SuperSport 2",,",M-Net Movies Action       ,SuperSport ,SuperSport 1    ,SuperSport 2    ,",",BBC World News    ,E! Entertainment   ,M-Net Movies Zone   ,",
3661,134988531,"Star KungFu 1, ZNBC TV 2, ZNBC TV1                                                                                      , , ","Fox,Star KungFu 1, ZNBC TV 2, ZNBC TV1 ",,nan,",Fox ,Star KungFu 1  ,ZNBC TV 2  ,ZNBC TV1  ",
3662,134994919,,,,nan,,
3663,134994982,"SuperSport 3, SuperSport 5, ZNBC TV 2, ZNBC TV1                                                                                      , ","Hope Channel,SuperSport 3, SuperSport 5, ZNBC TV 2, ZNBC TV1                                                                                      , ",,nan,",Hope Channel    ,SuperSport 3    ,SuperSport 5    ,ZNBC TV 2  ,ZNBC TV1  ",
3664,134997290,,"African magic,",,nan,,",African magic    ,,"
3665,134997292,,,,nan,,
3666,134997407,"ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                      , , ","African magic,ZNBC TV 2, ZNBC TV 3, ZNBC TV1 ",,nan,,",African magic    ,,ZNBC TV 2  ZNBC TV 3  ZNBC TV1  "
3667,134997439,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3668,135033818,,,,nan,,
3669,135034797,,,,nan,,
3670,135041424,"African Movie Channel AMC, ZNBC TV1                                                                                       ","African magic,African Movie Channel AMC, ZNBC TV1                                                                                       ",,nan,,",African magic    African Movie Channel AMC      ,ZNBC TV1  "
3671,135041427,,"ZNBC TV1,",,nan,,",ZNBC TV1  "
3672,135043695,,,,nan,,
3673,135045882,,,,nan,,
3674,135046399,"Diamond TV, Muvi TV, SuperSport 1, SuperSport 3, ZNBC TV 2, ZNBC TV 3, ZNBC TV1                                                                                     , ","SuperSport 1,",",SuperSport 1    ,",nan,,
3675,135046400,"Al Jazeera, SuperSport 1, Zee World, ZNBC TV 3, ZNBC TV1                                                                                      ","African Movie Channel AMC,Al Jazeera, SuperSport 1, Zee World, ZNBC TV 3, ZNBC TV1                                                                                      ",",SuperSport 1    ,",nan,",African Movie Channel AMC      ,Al Jazeera ,Zee World  ,ZNBC TV 3  ZNBC TV1  ",
3676,135046401,,,,nan,,
3677,135047475,,,,nan,,
3678,135075175,,,,nan,,
3679,135084021,"ZNBC TV 2, ZNBC TV1                                                                                       ","Zee World,ZNBC TV 2, ZNBC TV1                                                                                       ",",ZNBC TV 2  ,ZNBC TV1  ",nan,,",Zee World  ,"
3680,135089232,"African Movie Channel AMC, AMC Series, Bollywood, Diamond TV, E-Stars, Ginx TV, M-Net Movies Action, Muvi TV, SuperSport, SuperSport 1, Zee Cinema, Zee World                                                                                   , , ","African magic,African Movie Channel AMC, AMC Series, Bollywood, Diamond TV, E-Stars, Ginx TV, M-Net Movies Action, Muvi TV, SuperSport, SuperSport 1, Zee Cinema, Zee World                                                                                   , , ",",African magic  ,Bollywood  ,E-Stars ,Zee World  ,",",African Movie Channel AMC      ,AMC Series ,Ginx TV ,M-Net Movies Action       ,SuperSport ,",",Diamond TV ,Muvi TV ,SuperSport 1    ,",",,Zee Cinema ,"
3681,135089234,"Cartoon network, Emmanuel TV, ZNBC TV1                                                                                      , , ","African magic,Cartoon network, Emmanuel TV, ZNBC TV1 ",,nan,",Cartoon network    ,,",",African magic    ,Emmanuel TV ,ZNBC TV1  "
3682,135089237,Bollywood,"African Movie Channel AMC,Bollywood",,",African Movie Channel AMC      ,Bollywood  ,",,
3683,135090635,"African Movie Channel AMC, Zee World, ZNBC TV 2, ZNBC TV1, Zambezi Magic                                                                                      ","African magic,African Movie Channel AMC, Zee World, ZNBC TV 2, ZNBC TV1, Zambezi Magic                                                                                      ",",African magic  African Movie Channel AMC      ,Zee World  ,ZNBC TV 2  ,ZNBC TV1  Wa,Zambezi Magic  ",nan,,
3684,135092934,"Zee World, ZNBC TV1                                                                                       ","African magic,Zee World, ZNBC TV1                                                                                       ",",African magic  ,Zee World  ,",nan,",ZNBC TV1  ",
3685,135106144,,,,nan,,
3686,135110428,"ZNBC TV 2, ZNBC TV1                                                                                       ","Diamond TV,ZNBC TV 2, ZNBC TV1                                                                                       ",",Diamond TV ,ZNBC TV 2  ,ZNBC TV1  ",nan,,
