SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air,Sent SMS using Internet
60688037,Past 12 Months,Yesterday,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never
60688038,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Yesterday,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never
60688039,Never,Yesterday,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60688040,Past 12 Months,Yesterday,Never,Never,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60688170,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months
60688783,Never,Never,Never,Never,Yesterday,Never,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Past 7 Days,Yesterday,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Never,Never,Never,Never,Never,Yesterday,Never
60688784,Never,Past 4 Weeks,Never,Never,Past 7 Days,Never,Past 4 Weeks,Never,Past 4 Weeks,Never,Never,Past 4 Weeks,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never
60688785,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Yesterday,Past 7 Days,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60688786,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60688787,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60688913,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never
60688914,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60689747,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Past 4 Weeks,Yesterday,Yesterday,Never,Yesterday,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never
60689748,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never
60689990,Past 7 Days,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60689991,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60689992,Past 4 Weeks,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60689993,Past 4 Weeks,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60689994,Past 7 Days,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 4 Weeks,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Past 12 Months,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60689995,Past 4 Weeks,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Past 4 Weeks,Past 7 Days,Yesterday,Never,Past 7 Days,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60690699,Past 7 Days,Past 7 Days,Never,Never,Past 7 Days,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never
60700170,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 7 Days,Past 7 Days,Never,Past 4 Weeks,Never,Never,Yesterday,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never
60701172,Never,Never,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Never,Past 7 Days,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60701173,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60701174,Never,Past 12 Months,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Past 4 Weeks,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never
60701698,Never,Past 12 Months,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60703098,Never,Never,Yesterday,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60704336,Never,Never,Yesterday,Never,Past 7 Days,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60704660,Past 12 Months,Past 4 Weeks,Yesterday,Yesterday,Past 4 Weeks,Past 7 Days,Yesterday,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Yesterday
60704849,Past 7 Days,Yesterday,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Yesterday,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Never
60704850,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60704851,Never,Never,Never,Never,Past 7 Days,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60704852,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Past 4 Weeks,Never,Yesterday,Past 4 Weeks,Past 4 Weeks,Yesterday,Yesterday,Never,Past 4 Weeks,Past 12 Months,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Yesterday
