SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60515244,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,6 days per week,Do not watch at this time,Do not watch at this time,,Channel O,they play nice hip hop music,"Monday,Wednesday,Friday",South African drama programmes, ,Lets Talk, ,, ,News & current affairs,News & current affairs,Entertainment,Dramas,None/Don’t know,None/Don’t know,Religious issues,Education,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515245,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,6 days per week,Do not watch at this time,Do not watch at this time,,Channel O,they play the latest videos in the world,Saturday,, ,News, ,Other (specify),none,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515246,"Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,5 days per week,Do not watch at this time,,Hope Channel,they broadcast good religious programs,Saturday,, ,News, ,, ,News & current affairs,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515247,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,5 days per week,Do not watch at this time,Do not watch at this time,,One Gospel,they televise best gospel music,Saturday,Local drama, ,News, ,, ,News & current affairs,Entertainment,Education,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515248,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,Discovery Channel,it has best documentaries,Thursday,Documentaries, ,News, ,Other (specify),none,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515348,"At home,Another household (friends, relatives house),At school/College", ,On a TV set,2 days per week,3 days per week,2 days per week,4 days per week,4 days per week,4 days per week,Do not watch at this time,,Nickelodeon,Nice cartoons,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Documentaries,African movies,American movies,Mexican movies", ,"News,Sounds Arcade,Smooth Talk,TV Local Language Programmes (Njuwelelo, chintobentobe, …),Born & Bred,Army Wives", ,"Morning Live,Criminal Minds,Irrational Hearts", ,News & current affairs,News & current affairs,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60515349,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,3 days per week,Do not watch at this time,,TV 2,News,"Monday,Tuesday,Friday,Sunday","African movies,American movies,Mexican movies,South African drama programmes,Local drama", ,"News,Sports -on", ,"Morning Live,Other (specify)",news,News & current affairs,News & current affairs,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Sports,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60515652,"Another household (friends, relatives house)", ,On a TV set,Less than that,Less than that,Less than that,2 days per week,Less than that,Less than that,Less than that,,African magic,African movies,"Saturday,Sunday",African movies, ,, ,, ,News & current affairs,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515653,"Another household (friends, relatives house),In a restaurant", ,On a TV set,Less than that,Less than that,Less than that,Do not watch at this time,Less than that,Do not watch at this time,Do not watch at this time,,African magic,Nigerian movies,Saturday,, ,, ,, ,News & current affairs,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515654,At home, ,On a TV set,2 days per week,2 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,,Prime Television,news and current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",African movies, ,, ,, ,News & current affairs,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60515655,"Another household (friends, relatives house),In a bar", ,On a TV set,Less than that,Less than that,2 days per week,2 days per week,2 days per week,Do not watch at this time,Do not watch at this time,,African magic,African drama,"Monday,Tuesday","African movies,Mexican movies", ,, ,, ,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Sports,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515656,"Another household (friends, relatives house),Other (specify)",car wash,On a TV set,Less than that,Less than that,2 days per week,2 days per week,Less than that,Do not watch at this time,Do not watch at this time,,TV1,news,Saturday,Soccer commentaries, ,"News,Other (specify)",Zambia vs South africa,, ,News & current affairs,Education,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
