SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60515654,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,Yes,Yes,,Yes,,,,,,,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,Neither satisfied nor dissatisfied,Satisfied,,Satisfied,,,,,,
60515655,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Neither satisfied nor dissatisfied,,,,,,
60515656,Yes,"MTN (MTN Mobile Money),Zampost", ,,Yes,,,,,,No,,,, ,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,Withdrawn money, ,, ,, ,,,Extremely satisfied,,,,,,Dissatisfied,,
60515728,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,Yes,,Yes,,,Yes,,,,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money,Paid a bill", ,"Paid a bill,Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Paid a bill,Withdrawn money", ,, ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,,Neither satisfied nor dissatisfied,Extremely satisfied,,Neither satisfied nor dissatisfied,,,Neither satisfied nor dissatisfied,,,
60516534,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Withdrawn money,Paid a bill", ,"Recharged your airtime,Withdrawn money,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,Extremely satisfied,,,,,,,,
60516535,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60516536,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60516537,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60516538,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60516539,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zanaco (Zapit)", ,Yes,Yes,,,Yes,,,,,,"Withdrawn money,Recharged your airtime", ,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,Extremely satisfied,,,Extremely satisfied,,,,,
60519020,Yes,Airtel (Airtel Money), ,No,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60519021,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Sent money to a bank account,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
