SbjNum,TOM - TV Spontaneous Awareness,Other Mentions - TV Spontaneous Awareness,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
82091969,"African Magic, Zambezi Magic,Zee World,Others", ,297,"African Magic, Zambezi Magic,Zee World,{0}", , , , 
82091970,"Fashion TV,National Geographic Channel,Zee World,TV 2,TV1", ,"Al Jazeera,BBC World News","Al Jazeera,BBC World News,Fashion TV,National Geographic Channel,Zee World,TV 2,TV1", , , , 
82092535,"African Magic, Zambezi Magic,TV 2,TV1", ,"Crime + Investigation,Mobi Tv,Muvi TV,Prime Television,Zee World,Diamond","Crime + Investigation,Mobi Tv,Prime Television,TV 2,TV1", , , , 
82092537,"African Magic, Zambezi Magic,Discovery Channel,Nickelodeon,Prime Television,Zee World,TV 2,TV1", ,"Al Jazeera,Crime + Investigation","African Magic, Zambezi Magic,Nickelodeon,Prime Television,TV 2,TV1", , , , 
82093272,"ABN TB,African Magic, Zambezi Magic,Al Jazeera,Amnet,Animal Planet,Animaux,B4U Movies,BBC World News,CNBC,CNN,E! Entertainment,Emmanuel TV,Fashion One,Fashion TV,Fox Crime,Fox Entertainment,Fox Sports,Inspiration TV,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,QTV Zambia,SuperSport 4,SuperSport 7,SuperSport 9,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Magic, Zambezi Magic,Prime Television,Zee World,TV 2,TV1,Diamond", , , , 
82094391,"BET,SuperSport,Trace Urban,Others", ,297,"BET,SuperSport,Trace Urban,{0}", , , , 
82095349,"African Magic, Zambezi Magic,BET,City Channel Cable Network TV,Emmanuel TV,M-Net Movies Zone,Muvi TV,Prime Television,Q TV,SuperSport 3,SuperSport 5,TV 2,TV 3,TV1", ,"African Movie Channel (AMC),Al Jazeera,B4U Movies,Cartoon network,ESPN,Fox","TV 2,TV1", , , , 
82096725,"CCTV News,Muvi TV,Prime Television,Q TV,TV 2,TV 3,TV1,Diamond", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,Animal Planet,BBC World News,Bollywood,CBC TV,Crime + Investigation,Discovery Channel","Bollywood,Prime Television,Q TV,TV 2,TV 3,TV1,Diamond", , , , 
82098177,"African Magic, Zambezi Magic,African Movie Channel (AMC),Animal Planet,BBC World News,Bollywood,Cartoon network,CBC TV,CBS TV,Channel O,CNN,E! Entertainment,Emmanuel TV,Fox Crime,Nickelodeon,Prime Television,Q TV,Sony Entertainment,Sony Max,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,Zee World, , , , 
82098178,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Disney Channel,E Africa,Fox Crime,Nickelodeon,Prime Television,Q TV,Sony Max,SuperSport 1,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Magic, Zambezi Magic", , , , 
82101518,"Zee World,TV 2,TV 3,TV1", ,"Al Jazeera,Muvi TV","TV 2,TV 3,TV1", , , , 
82101519,"Telemundo,Zee World", ,"TV 2,TV1","Telemundo,Zee World,TV 2,TV1", , , , 
82102463,"Africa Unite,African Movie Channel (AMC),Al Jazeera,Amnet,BBC World News,CCTV News,CNBC,CNN,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Eva English,Fox Crime,Fox Entertainment,Mzansi,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,Prime Television,Q TV,QTV Zambia,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Movie Channel (AMC),Prime Television,Zee World", , , , 
82102969,"BBC World News,Emmanuel TV,TV 2,TV 3,TV1", ,Al Jazeera,"BBC World News,TV 2,TV 3,TV1", , , , 
82105045,"Prime Television,TV1", ,City Channel Cable Network TV,"Prime Television,TV1", , , , 
82105046,African Movie Channel (AMC), ,"TV 2,TV 3,TV1","African Movie Channel (AMC),TV1", , , , 
82105047,"African Movie Channel (AMC),Discovery Science,Emmanuel TV,Star Novela E1,Star Novela E3", ,297,"African Movie Channel (AMC),Star Novela E3", , , , 
82105049,"TV 2,TV1", ,297,"TV 2,TV1", , , , 
82105050,"African Movie Channel (AMC),E! Entertainment,Trace Urban,Zee World", ,297,"African Movie Channel (AMC),Trace Urban,Zee World", , , , 
82105099,"1 Music,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Amnet,B4U Movies,BET,BET International,CCTV 9 Documentary,CCTV News,CNBC,Fox Movies +2,Fox News,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Muvi TV,MUVIZ,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,TBN,Telemundo,World Football,Zee Cinema,Zee World,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone", ,"3 Stones TV,ABN TB,Baby TV,BBC Earth,BBC First,BBC Lifestyle,BBC World News,Bollywood,Channel O,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Emmanuel TV,Euro Sport News,Family TV,Magic,Mindset,Miracle Tv,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,SABC,Star Plus,Star Series E1,Star Zone- movies,STV Guide,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 7,SuperSport maximo,TV 2,TV 3,TV1,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Diamond,{0}","Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Magic,Miracle Tv,Zee Cinema,Zee World,TV 2,TV 3,TV1,Diamond", , , , 
82105100,"African Magic, Zambezi Magic,B4U Movies,BBC Lifestyle,BBC World News,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,E Africa,E! Entertainment,Euro Sport News,Fashion TV,Magic,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Parliament TV,Q TV,QTV Zambia,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,Zee Cinema,Zee World", ,"1 Music,ABN TB,Africa Unite,African Movie Channel (AMC),Al Jazeera,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,MTV Base,Music,Nickelodeon,Nigezie,Njata TV,Zuku Movies Action,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Swahili Movies,Zuku Zone,Diamond,{0}","African Magic, Zambezi Magic,B4U Movies,Magic,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Zee World", , , , 
82105101,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Citizen TV,City Channel Cable Network TV,Discovery Channel,Disney Channel,Disney XD,Magic,Nat Geo Gold,Nat Geo Wild", ,"B4U Movies,Nick Jr,Nickelodeon,Zee Cinema,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),B4U Movies,City Channel Cable Network TV,Discovery Channel,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Zee World", , , , 
82107300,"Africa Unite,African Magic, Zambezi Magic,Al Jazeera,Amnet,Animaux,B4U Movies,CNN,Eva English,Fox,Inspiration TV,Mzansi,National Geographic Channel,Nickelodeon,Parliament TV,Prime Television,Q TV,Sony Max,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,TBN,Viasat Crime,Zee World,TV 2,TV1,Diamond", ,"ABN TB,Bollywood","African Magic, Zambezi Magic,Zee World", , , , 
82108125,"Zee World,TV1", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World,TV1", , , , 
82111073,"African Magic, Zambezi Magic,Discovery Family,Emmanuel TV,M-Net Movies Zone,Prime Television,Zee World,TV 2,TV1", ,"Al Jazeera,BBC World News,Jim Jam,Muvi TV,Nat Geo Wild","African Magic, Zambezi Magic,Discovery Family,Emmanuel TV,M-Net Movies Zone,Muvi TV,Nat Geo Wild,Prime Television,Zee World,TV 2,TV1", , , , 
82111074,"Emmanuel TV,Hope Channel,Prime Television,QTV Zambia,Zee World", ,"TV 2,TV1","Emmanuel TV,Hope Channel,Prime Television,QTV Zambia,Zee World,TV 2,TV1", , , , 
82111077,"African Magic, Zambezi Magic,BBC World News,SuperSport 2,SuperSport 3,Zee World,TV 2,TV1", ,"1 Music,African Movie Channel (AMC),Emmanuel TV,Gospel Music TV,Nat Geo Wild","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,SuperSport 2,SuperSport 3,Zee World,TV 2,TV1", , , , 
82111079,"Nickelodeon,Prime Television,SuperSport 3,Zee World,TV 2,TV1", ,"Emmanuel TV,M-Net Movies Zone","Emmanuel TV,M-Net Movies Zone,Nickelodeon,Prime Television,SuperSport 3,Zee World,TV 2,TV1", , , , 
82111080,"African Magic, Zambezi Magic,Jim Jam,M-Net Movies Zone,Muvi TV,Prime Television,SuperSport 3,Zee World,TV 2,TV 3,TV1,Don't know",one zed,Nat Geo Wild,"M-Net Movies Zone,Nat Geo Wild,Prime Television,Zee World,TV 2,TV 3,TV1,Don't know", , , , 
82112241,"BBC World News,Hope Channel,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,Al Jazeera,CNN,Discovery Channel,Disney Channel","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,Discovery Channel,Disney Channel,Hope Channel,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV 3,TV1", , , , 
82113725,E Africa, ,TV1,"E Africa,TV1", , , , 
82113727,"Bollywood,Bostv,CCTV News,E! Entertainment,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1", ,"African Magic, Zambezi Magic,Al Jazeera,Amnet,Animal Planet,City Channel Cable Network TV,Crime + Investigation,Discovery Family","African Magic, Zambezi Magic,Al Jazeera,Amnet,Animal Planet,Bollywood,Bostv,CCTV News,City Channel Cable Network TV,Crime + Investigation,Discovery Family,E! Entertainment,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1", , , , 
82117684,"African Magic, Zambezi Magic,Zee World", ,TV1,"African Magic, Zambezi Magic,Zee World,TV1", , , , 
82117685,"SuperSport 7,SuperSport 8,SuperSport 9", ,"Animal Planet,One Gospel","Animal Planet,One Gospel,SuperSport 7,SuperSport 8,SuperSport 9", , , , 
82117686,"Africa Unite,African Magic, Zambezi Magic,Zee World,Others", ,3 Stones TV,"African Magic, Zambezi Magic,Zee World", , , , 
82117687,"African Magic, Zambezi Magic,SuperSport 3,Don't know",prime tv,"Africa Unite,Al Jazeera","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,SuperSport 3,Don't know", , , , 
82117688,Zee World, ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World", , , , 
82117689,Don't know,Prime tv,"Diamond,{0}","Diamond,{0},Don't know", , , , 
82117690,"African Magic, Zambezi Magic,Al Jazeera,TV1", ,African Movie Channel (AMC),"African Magic, Zambezi Magic,TV1", , , , 
82176615,"Chipata,Prime Television,TV 2,TV1,Don't know",Diamond tv,297,"Chipata,Prime Television,TV 2,TV1,Don't know", , , , 
82176616,"Emmanuel TV,TV 2,TV1,Don't know",diamond,TV 3,"Emmanuel TV,TV 2,TV 3,TV1,Don't know", , , , 
82176617,"Al Jazeera,Don't know",diamond,"QTV Zambia,TV 2,TV1","Al Jazeera,QTV Zambia,TV 2,TV1,Don't know", , , , 
82176618,"Channel O,E! Entertainment,Prime Television,SuperSport 9,TV 2,TV1", ,"BBC World News,Bollywood,Chipata,E Africa,M-Net Movies Action,Zee World","Channel O,Chipata,E! Entertainment,Prime Television,SuperSport 9,Zee World,TV 2,TV1", , , , 
82178617,"African Magic, Zambezi Magic,Channel O,Trace Urban", ,297,"African Magic, Zambezi Magic,Channel O,Trace Urban", , , , 
82178833,"African Magic, Zambezi Magic,Gospel Music TV,Hope Channel,M-Net Movies Zone,Muvi TV,Nat Geo Wild,Prime Television,QTV Zambia,Zee Cinema", ,"Al Jazeera,BBC World News,Zee World","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Gospel Music TV,Hope Channel,M-Net Movies Zone,Muvi TV,Nat Geo Wild,Prime Television,QTV Zambia,Zee World", , , , 
82179280,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,B4U Movies,BBC Lifestyle,BBC World News,Bollywood,Channel O,Discovery Channel,Discovery Family,Disney Channel,M-Net,M-Net Movies Action,M-Net Movies Action +,Muvi Combo", ,"M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone","African Magic, Zambezi Magic,African Movie Channel (AMC),Animal Planet,B4U Movies,BBC World News,Discovery Channel,Discovery Family,M-Net,M-Net Movies Action +,M-Net Movies Zone", , , , 
82180022,"African Magic, Zambezi Magic,Channel O,Trace Urban", ,297,"African Magic, Zambezi Magic,Channel O,Trace Urban", , , , 
82180488,"African Magic, Zambezi Magic,Al Jazeera,Q TV,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,TV 2,TV 3,TV1", ,"1 Music,ABN TB,Africa Unite,African Movie Channel (AMC),AMC Series,AMC USA,Animal Planet,B4U Movies,Baby TV,BBC World News,BET,Beta TV,Bollywood,CBC TV,Citizen TV,City Channel Cable Network TV,Discovery Channel,E Africa,E! Entertainment,ESPN,Fashion One,Fox,M-Net","African Magic, Zambezi Magic,African Movie Channel (AMC),E Africa,SuperSport 1,SuperSport 2,SuperSport 3,TV 2,TV1", , , , 
82180574,"Prime Television,SuperSport 3,TV 2,TV1", ,"E Africa,M-Net Movies Zone,Nat Geo Wild","E Africa,M-Net Movies Zone,Nat Geo Wild,Prime Television,SuperSport 3,TV 2,TV1", , , , 
