SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60514734,"Star Novela E1,Diamond","Star KungFu 1,Star Novela E1,Star Plus,Diamond",Diamond,Star KungFu 1,Star Novela E1,Star Plus
60514735,"BBC Lifestyle,BBC World News,Boomerang,Cartoon network,E! Entertainment,Emmanuel TV,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Lifetime,M-Net Movies Action,M-Net Movies Action +,MTV,MTV Base,Music,Nat Geo Gold,Nat Geo Wild,National Geographic Channel","African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Action,M-Net Movies Action +,SuperSport 9","African Magic, Zambezi Magic,SuperSport 9",Emmanuel TV,"M-Net Movies Action,M-Net Movies Action +","M-Net Movies Action,M-Net Movies Action +"
60515239,"African Magic, Zambezi Magic,BBC Lifestyle,BBC World News,CCTV News,Echo TV","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV2,ZNBC TV1"
60515240,"African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Action,Nat Geo Gold,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV1","Zee World,ZNBC TV1"
60515241,"SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Trace Gospel","Nat Geo Wild,National Geographic Channel,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Trace Gospel,ZNBC TV2,ZNBC TV3,ZNBC TV1","SuperSport 3,ZNBC TV1","SuperSport 3,ZNBC TV1","National Geographic Channel,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV3,ZNBC TV1","National Geographic Channel,SuperSport 1,SuperSport 3,ZNBC TV2,ZNBC TV3,ZNBC TV1"
60515242,"African Magic, Zambezi Magic,Emmanuel TV,Muvi TV,ZNBC TV2",Zee World,Zee World,Zee World,Zee World,Zee World
60515243,SuperSport 1,"SuperSport 1,ZNBC TV2,ZNBC TV1",ZNBC TV1,"SuperSport 1,ZNBC TV2,ZNBC TV1","SuperSport 1,ZNBC TV2,ZNBC TV1","SuperSport 1,ZNBC TV2,ZNBC TV1"
60515244,"African Magic, Zambezi Magic,Al Jazeera,Amnet,Animaux,Baby TV,BBC Lifestyle,BBC World News,BET International,CCTV News,Channel O,CNBC,Crime + Investigation,DW-TV,Emmanuel TV,Fashion TV,Trace Urban","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1","Channel O,Trace Urban,ZNBC TV1"
60515245,"Africa Unite,African Magic, Zambezi Magic,Al Jazeera,BBC World News,Bloomberg,Cartoon network,CNN,Crime + Investigation,Discovery Channel,E Africa,Emmanuel TV,Fashion TV,ZNBC TV2,ZNBC TV3,ZNBC TV1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1",Nickelodeon,"Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1","Channel O,Nickelodeon,Zee World,ZNBC TV2,ZNBC TV1"
60515246,"Africa Unite,Al Jazeera,Animal Planet,BBC Lifestyle,BBC World News,DW-TV,Emmanuel TV,Hope Channel","Emmanuel TV,Hope Channel,Muvi TV,ZNBC TV1",ZNBC TV1,ZNBC TV1,Hope Channel,Muvi TV
60515247,"African Magic, Zambezi Magic,BBC World News,Channel O,E! Entertainment,Emmanuel TV,MTV Base,Nat Geo Wild,National Geographic Channel,One Gospel,Sky News,Smash Hits,SuperSport 5,SuperSport 8,SuperSport 9,Supersport Blitz","African Magic, Zambezi Magic,BBC World News,National Geographic Channel,One Gospel,Sky News,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 8,SuperSport 9,Zee World,ZNBC TV1","BBC World News,National Geographic Channel,One Gospel,Sky News,SuperSport 3,ZNBC TV1","BBC World News,One Gospel,Sky News,SuperSport 3,ZNBC TV1","BBC World News,One Gospel,Sky News,SuperSport 3,ZNBC TV1",Zee World
60515248,"BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1","Discovery Family,History,Nat Geo Wild,ZNBC TV1","BBC World News,CCTV News,Discovery Channel,ID Investigation Discovery,Nat Geo Wild,SuperSport 3,ZNBC TV2,ZNBC TV1","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1","BBC World News,CCTV News,Discovery Channel,Discovery Family,Gospel Music TV,History,ID Investigation Discovery,M-Net,Nat Geo Wild,National Geographic Channel,SuperSport 3,ZNBC TV2,ZNBC TV1"
