SbjNum,Internet Service providers P4W,Main Internet Service providers/download P4W,Bought Digital Content using your Mobile Device,Service Providers - Bought Digital Content using your Mobile Device,Service Providers - Will Consider to Buy Digital Content using Mobile Device,Overall Best Service provider of Digital Content for your mobile device,Airtel,MTN,Vodafone,Zamtel,{0}
60540119,Airtel,Airtel,Yes,Other,eBay,eBay,Best value,,,,
60540120,"Airtel,Zamtel,",Zamtel,No,,Google: Google Play Store,Google: Google Play Store,Best for my device,,,Best for my device,
60540121,"MTN,Zamtel,",Zamtel,No,,eBay,eBay,,Best content,,Best value,
60540122,MTN,MTN,No,,"Amazon: Amazon AppStore,eBay,",eBay,,Best value,,,
60540123,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60540326,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60540719,,,,,,,,,,,
60540720,,,,,,,,,,,
60540721,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60540722,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60540723,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60540724,,,,,,,,,,,
60540725,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Best value,Best value,,,
60540726,,,,,,,,,,,
60540727,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60541393,,,No,,Don’t know / unsure,,,,,,
60541600,Airtel,Airtel,Yes,Google: Google Play Store,Don’t know / unsure,,Best for my device,,,,
60541872,"Airtel,MTN,",MTN,No,,Don’t know / unsure,,Ease of payment,Best content,,,
60541873,,,,,,,,,,,
60541874,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Best value,Ease of use,,,
60541875,"Airtel,MTN,Zamtel",Zamtel,Unsure / Don’t know,,Don’t know / unsure,,Ease of payment,Best value,,Otherplease specify,
60541876,"Airtel,MTN,",MTN,No,,Don’t know / unsure,,Easy to download,Best value,,,
60541877,,,,,,,,,,,
60541878,,,,,,,,,,,
60541879,Airtel,Airtel,Unsure / Don’t know,,Google: Google Play Store,Google: Google Play Store,Otherplease specify,,,,
60541904,Airtel,Airtel,Yes,Other,Don’t know / unsure,,Ease of use,,,,
60542679,,,,,,,,,,,
60543022,,,,,,,,,,,
60543023,,,,,,,,,,,
60543024,,,,,,,,,,,
60543025,Airtel,Airtel,Yes,Blackberry: Blackberry World,Airtel Live,Airtel Live,Best content,,,,
60543026,"Airtel,Zamtel,",Zamtel,No,,Don’t know / unsure,,Otherplease specify,,,Otherplease specify,
60543321,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Easy to download,,,
60543322,Vodafone,Vodafone,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,Widest range of content,,
60543324,,,,,,,,,,,
60543325,"Airtel,MTN,",MTN,No,,"Google: Google Play Store,Airtel Live,eBay",Airtel Live,Easy to download,Easy to download,,,
60543326,MTN,MTN,No,,"Google: Google Play Store,Microsoft: Windows App Store,Airtel Live,Zamtel Games Club,",Zamtel Games Club,,Ease of use,,,
60543327,,,,,,,,,,,
60543328,Airtel,Airtel,No,,eBay,eBay,Best value,,,,
60543874,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60548541,MTN,MTN,Yes,Google: Google Play Store,eBay,eBay,,Ease of use,,,
60549183,MTN,MTN,Yes,Blackberry: Blackberry World,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60549600,,,,,,,,,,,
60549601,,,Yes,"Airtel Live,MTN: MTN Play,",eBay,eBay,,,,,
60549602,,,,,,,,,,,
60549603,"Airtel,MTN,Zamtel",Airtel,No,,Don’t know / unsure,,Best content,Widest range of content,,Widest range of content,
60549604,,,No,,Don’t know / unsure,,,,,,
60549605,,,,,,,,,,,
60549710,Airtel,Airtel,No,,eBay,eBay,Otherplease specify,,,,
60549711,,,,,,,,,,,
60549712,Airtel,Airtel,No,,Don’t know / unsure,,Easy to download,,,,
60549713,,,,,,,,,,,
60549714,"Airtel,Zamtel,",Airtel,No,,eBay,eBay,Otherplease specify,,,Otherplease specify,
60549715,,,,,,,,,,,
60550261,MTN,MTN,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60550361,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Ease of use,Best for my device,,,
60550362,"Airtel,Vodafone,",Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of use,,Best value,,
60550363,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60550364,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Easy to download,,,,
60550365,MTN,MTN,No,,Don’t know / unsure,,,Best for my device,,,
60550366,Zamtel,Zamtel,No,,Don’t know / unsure,,,,,Best value,
60550986,MTN,MTN,Yes,eBay,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60551587,,,,,,,,,,,
60551800,MTN,MTN,Yes,"MTN: MTN Play,Zamtel Games Club,",Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60552083,,,,,,,,,,,
60552219,Zamtel,Zamtel,Yes,Zamtel Games Club,Don’t know / unsure,,,,,Otherplease specify,
60552946,,,,,,,,,,,
60553081,MTN,MTN,Yes,Zamtel Games Club,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60553130,"MTN,Zamtel,",Zamtel,Unsure / Don’t know,,Google: Google Play Store,Google: Google Play Store,,Best value,,Best value,
60553131,"Airtel,MTN,",Airtel,Unsure / Don’t know,,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,",Google: Google Play Store,Widest range of content,Best value,,,
60553775,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Best value,,,
60553776,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Otherplease specify,,,
60553921,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of use,,,,
60553922,,,No,,Google: Google Play Store,{0},,,,,
60554675,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Ease of payment,,,
60554815,,,,,,,,,,,
60554971,,,,,,,,,,,
60555110,"Airtel,MTN,",Airtel,Yes,Don’t know / unsure,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Easy to download,Best value,,,
60555311,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of payment,,,
60555743,MTN,MTN,Yes,Zamtel Games Club,Google: Google Play Store,Google: Google Play Store,,Ease of payment,,,
60555767,,,No,,Don’t know / unsure,,,,,,
60555768,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60555769,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60555770,MTN,MTN,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60556109,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,Zamtel Games Club,Zamtel Games Club,Best value,,,Ease of payment,
