SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
135189045,,,"KNC,Phoenix,Radio 1,Radio 2,","KNC,Phoenix,Radio 1,Radio 2,","Phoenix,Radio 1,Radio 2",,nan,"KNC,Phoenix,Radio 1,Radio 2,",
134731377,,,"BBC,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai","BBC,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai","Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,",,nan,"BBC,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,",
134847402,,,"BBC,Radio 1,Radio 4,Mpika,Kwenje,Muchinga","BBC,Radio 1,Radio 4,Mpika,Kwenje,Muchinga","Radio 4,Mpika,",,nan,"BBC,Radio 4,Mpika,",
134817234,,,"BBC,Radio 4,Isoka,Nakonde,","BBC,Radio 4,Isoka,Nakonde,","Isoka,",,nan,"Radio 4,Isoka,",
134845662,,,"Mpika,","Mpika,",,,"Mpika,",,
134920608,,,"Radio 1,Radio 2,Mpika","Radio 1,Radio 2,Mpika","Radio 2,Mpika,",,"Radio 1,Radio 2,Mpika,",,
135036051,,,"Radio 1,Radio 2,K FM,Tuta,Yangeni,","Radio 1,Radio 2,K FM,Tuta,Yangeni,","Radio 2,K FM,Tuta,Yangeni,",,nan,"Radio 1,Radio 2,KFM,Tuta,Yangeni,",
134913308,,,"Mkushi FM,","Mkushi FM,",,,nan,,"Mkushi FM,"
134953625,,,"KNC,Radio 1,Radio 2","KNC,Radio 1,Radio 2","Radio 1,Radio 2,","KNC,Radio 1,Radio 2,",nan,,
134849444,,,"KNC,Mkushi FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice","KNC,Mkushi FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice","Mkushi FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,","Mkushi FM,","KNC,","Radio 1,",",Radio 2,Radio 4,Radio Chrsitian Voice,"
134702867,,,"Mkushi FM,Serenje,","Mkushi FM,Serenje,","Serenje,","Serenje,","Mkushi FM,",,
134596174,,,"Phoenix,Q FM,Radio 1,Radio 2,Serenje,Hot","Phoenix,Q FM,Radio 1,Radio 2,Serenje,Hot","Q FM,Radio 1,Radio 2,Hot,Serenje,",,nan,,",Phoenix,Q FM,Radio 1,Radio 2,SerenjeHot,"
134596175,,,"Maranatha,Radio 1,Radio Chrsitian Voice","Maranatha,Radio 1,Radio Chrsitian Voice","Radio 1,Radio Chrsitian Voice,",,nan,,",Maranatha,Radio 1,Radio Chrsitian Voice,"
134610870,,,"Joy,Radio 1,Serenje","Joy,Radio 1,Serenje","Radio 1,Serenje,",,"Joy,Radio 1,","Serenje,",
134777586,,,"KNC,Maranatha,Mkushi FM","KNC,Maranatha,Mkushi FM","Maranatha,Mkushi FM,",,nan,,"KNC,Maranatha,Mkushi FM,"
134855852,,,"KNC,Mkushi FM,Radio 2","KNC,Mkushi FM,Radio 2","Mkushi FM,Radio 2,","Mkushi FM,Radio 2,","KNC,",,
134900750,,,"Mkushi FM,Radio 4,Radio Chrsitian Voice,Komboni Radio,","Mkushi FM,Radio 4,Radio Chrsitian Voice,Komboni Radio,","Radio 4,Radio Chrsitian Voice,Komboni Radio",,nan,,"Mkushi FM,Radio 4,Radio Chrsitian Voice,Komboni Radio,"
134946925,,,"Joy,Maranatha,Sun FM","Joy,Maranatha,Sun FM","Maranatha,Sun FM,","Joy,Maranatha,Sun FM,",nan,,
134946927,,,"Joy,Phoenix,Radio 1,Radio 2,Sun FM,","Joy,Phoenix,Radio 1,Radio 2,Sun FM,","Phoenix,Radio 1,Radio 2,Sun FM,","Joy,Phoenix,Radio 2,","Radio 1,Sun FM,",,
135031766,,,"KNC,Maranatha,Phoenix,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Radio 2,Radio 4,","Maranatha,Phoenix,Radio 2,Radio 4,",,nan,"KNC,",",Maranatha,Phoenix,Radio 2,Radio 4,"
134846077,,,"Radio 1,Radio 2,Parliament,Radio Christian Voice,Lutanda,Nmano,Nothern FM,","Radio 1,Radio 2,Parliament,Radio Christian Voice,Lutanda,Nmano,Nothern FM,","Radio 2,Lutanda,Nmano",,nan,"Radio 1,Radio 2,Lutanda,Nmano,",
134846078,,,"Nmano,","Nmano,",,,nan,,"Nmano,"
134698213,,,"BBC,Radio 1,Radio 4,Isoka,","BBC,Radio 1,Radio 4,Isoka,","Radio 1,Radio 4,Isoka",,"BBC,Radio 1,Radio 4,Isoka,",,
134920551,,,"Radio 1,Radio 4,Mpika","Radio 1,Radio 4,Mpika","Radio 4,Mpika,","Radio 1,","Radio 4,Mpika,",,
134590736,,,"Radio 1,Radio 2,Radio Chrsitian Voice,Isoka,Nakonde,","Radio 1,Radio 2,Radio Chrsitian Voice,Isoka,Nakonde,","Radio 2,Radio Chrsitian Voice,Isoka,Nakonde,",,nan,"Isoka,","Radio 1,Radio 2,Radio Chrsitian Voice,Nakonde"
134593180,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika,Isoka,","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika,Isoka,","Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,IsokaMpika,","Radio 1,Radio 2,Radio 4,Isoka,",nan,"BBC,",",Radio Chrsitian Voice,Mpika,"
134630900,,,"BBC,Radio 1,Radio 2,Isoka,Muchinga,Nakonde","BBC,Radio 1,Radio 2,Isoka,Muchinga,Nakonde","Radio 1,Radio 2,Isoka,Muchinga,Nakonde,",,"Isoka,","BBC,","Radio 1,Radio 2,Muchinga,Nakonde"
134805412,,,"BBC,Radio 1,Radio 2,Radio 4,Mpika,","BBC,Radio 1,Radio 2,Radio 4,Mpika,","Radio 2,Radio 4,Mpika",,nan,"Radio 1,Radio 2,Radio 4,Mpika,",
134817238,,,"BBC,Radio 1,Radio 2,Radio 4,Mpika,Isoka,Muchinga,Nakonde,","BBC,Radio 1,Radio 2,Radio 4,Mpika,Isoka,Muchinga,Nakonde,","Radio 1,Radio 2,Mpika,Isoka,Muchinga,",,"BBC,Radio 1,Radio 2,Mpika,Isoka,Muchinga,",,
135121824,,,"Radio 1,Radio 2,Radio 4,Muchinga,","Radio 1,Radio 2,Radio 4,Muchinga,","Radio 2,Radio 4,Muchinga",,nan,"Radio 1,Radio 4,Muchinga,","Radio 2,"
134882111,,,"Radio 2,K FM,Yangeni","Radio 2,K FM,Yangeni",,,"Radio 2,",,
134702865,,,"BBC,Joy,Mkushi FM,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,","BBC,Joy,Mkushi FM,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,","Radio 1,Radio 2,Serenje","Joy,Radio 1,Radio 2,Serenje,",nan,,
134591782,,,"5FM,Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Komboni Radio,","5FM,Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Komboni Radio,","Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Komboni RadioSerenje,",,nan,,",5FM,Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Komboni Radio,"
134653097,,,"Radio 1,Radio 2,Serenje","Radio 1,Radio 2,Serenje",",Radio 2,",,nan,"Radio 1,Radio 2,",
134883968,,,"Maranatha,Mkushi FM,Radio 1,Radio 2,","Maranatha,Mkushi FM,Radio 1,Radio 2,","Mkushi FM,Radio 1,Radio 2",,"Mkushi FM,Radio 1,",,",Maranatha,Radio 2,"
134953021,,,"Phoenix,Radio Chrsitian Voice,Komboni Radio","Phoenix,Radio Chrsitian Voice,Komboni Radio","Radio Chrsitian Voice,Komboni Radio,",,",Radio Christian Voice,",",Phoenix,Komboni Radio,",
135119161,,,"Maranatha,Phoenix,Komboni Radio","Maranatha,Phoenix,Komboni Radio","Phoenix,Komboni Radio,",,nan,",Maranatha,Phoenix,Komboni Radio,",
135144993,,,"KNC,Maranatha,Phoenix,Power,Radio 4,","KNC,Maranatha,Phoenix,Power,Radio 4,","Maranatha,Phoenix,Power,Radio 4,",",Maranatha,",nan,"Power,","KNC,Phoenix,Radio 4,"
135152869,,,"KNC,Radio 1,Radio 2,Radio 4,","KNC,Radio 1,Radio 2,Radio 4,","Radio 1,Radio 2,Radio 4",,"KNC,Radio 1,Radio 2,Radio 4,",,
134734238,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,Luanginga Cheke,Lyambai,",,nan,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,"
134849177,,,"Lutanda,Nmano,","Lutanda,Nmano,","Nmano,",,nan,,"Lutanda,Nmano,"
134659933,,,"Nmano,","Nmano,",,,nan,,"Nmano,"
134659934,,,"BBC,Radio 1,Radio 2,Radio 4,Parliament,Radio Christian Voice,Lutanda,Nmano,","BBC,Radio 1,Radio 2,Radio 4,Parliament,Radio Christian Voice,Lutanda,Nmano,",",Lutanda,",,"Nmano,","Lutanda,",
134593184,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Isoka,Nakonde,","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Isoka,Nakonde,","Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Isoka,Nakonde",,nan,"BBC,Radio 1,Radio 2,Radio 4,Isoka,",",Radio Chrsitian Voice,Nakonde"
134593185,,,"Radio 1,Radio 2,Isoka","Radio 1,Radio 2,Isoka","Radio 2,Isoka,",,"Radio 1,Radio 2,Isoka,",,
134920553,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika","Radio 1,Radio 2,",,nan,,"BBC,Radio 1,Radio 2,"
135084807,,,"Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Muchinga,","Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Muchinga,","Radio 2,Radio 4,Radio Chrsitian Voice,Muchinga,",,nan,"Radio 1,Radio 2,Radio 4,Muchinga,",",Radio Chrsitian Voice,"
135137675,,,,,,,nan,,
135119160,,,"KNC,Maranatha,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Komboni Radio,","KNC,Maranatha,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Komboni Radio,","Maranatha,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Komboni Radio,","KNC,Maranatha,Q FM,Radio 1,Radio 4,",",Radio 2,Radio Christian Voice,","Komboni Radio,",
135152867,,,"KNC,Maranatha,Power","KNC,Maranatha,Power","Maranatha,Power,",,nan,"KNC,Maranatha,Power,",
134906053,,,"KNC,Mkushi FM,","KNC,Mkushi FM,","Mkushi FM,","Mkushi FM,",nan,"KNC,",
134850568,,,"KNC,Radio 1,Radio 2","KNC,Radio 1,Radio 2","Radio 1,Radio 2,","KNC,Radio 1,Radio 2,",nan,,
134596176,,,"Radio 4,Serenje,Hot","Radio 4,Serenje,Hot","Serenje,Hot,",,nan,"SerenjeHot,","Radio 4,"
134610866,,,"Radio 1,Serenje,","Radio 1,Serenje,","Serenje,","Serenje,",nan,"Radio 1,",
134675282,,,"Joy,Radio 1,Serenje","Joy,Radio 1,Serenje","Radio 1,Serenje,","Serenje,",nan,"Radio 1,","Joy,"
134678333,,,"Radio 1,Serenje,","Radio 1,Serenje,","Serenje,",,"Radio 1,Serenje,",,
134702866,,,"BBC,Blue Sky FM,Itezhi tezhi,Itezi tezi,Joy,Mkushi FM,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Foston Radio,Hot,Komboni Radio,Sun FM","BBC,Blue Sky FM,Itezhi tezhi,Itezi tezi,Joy,Mkushi FM,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Foston Radio,Hot,Komboni Radio,Sun FM","Radio 1,Radio Chrsitian Voice,Serenje,Komboni Radio,","BBC,Radio 1,Radio Chrsitian Voice,Serenje,Komboni Radio,",nan,,
134779694,,,"Mkushi FM,Phoenix,Radio 1,Radio 2,Komboni Radio,Sun FM","Mkushi FM,Phoenix,Radio 1,Radio 2,Komboni Radio,Sun FM","Phoenix,Radio 1,Radio 2,Komboni Radio,Sun FM,",",Phoenix,Radio 1,Radio 2,Komboni Radio,","Mkushi FM,Sun FM,",,
134881828,,,"Mkushi FM,","Mkushi FM,",,,nan,,"Mkushi FM,"
134883967,,,"KNC,5FM,BBC,Phoenix,Komboni Radio,","KNC,5FM,BBC,Phoenix,Komboni Radio,","5FM,BBC,Phoenix,Komboni Radio,",,nan,,"KNC,5FM,BBC,Phoenix,Komboni Radio,"
134883971,,,"KNC,5FM,Mkushi FM,Radio 1,Radio 4,Radio Chrsitian Voice,Hot,","KNC,5FM,Mkushi FM,Radio 1,Radio 4,Radio Chrsitian Voice,Hot,","5FM,Mkushi FM,Radio 1,Radio 4,Radio Chrsitian Voice,Hot",,nan,,"KNC,5FM,Mkushi FM,Radio 1,Radio 4,Radio Chrsitian Voice,Hot,"
134901775,,,"KNC,Mkushi FM,Radio 1,Radio 2,","KNC,Mkushi FM,Radio 1,Radio 2,","Mkushi FM,Radio 1,Radio 2","KNC,Radio 2,","Radio 1,","Mkushi FM,",
134994983,,,"KNC,Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice","KNC,Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice","Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,","Radio 2,","Radio 1,Radio Christian Voice,","KNC,Maranatha,Radio 4,",
135087471,,,,,,,nan,,
135181096,,,"KNC,","KNC,",,,"KNC,",,
134817365,,,"Radio 1,Radio 2,Radio 4,Lutanda,Nmano,","Radio 1,Radio 2,Radio 4,Lutanda,Nmano,","Radio 2,Radio 4,Lutanda,Nmano,","Lutanda,Nmano,",nan,"Radio 1,Radio 2,Radio 4,",
135118382,,,"KNC,5FM,Blue Sky FM,Itezhi tezhi,Joy,Maranatha,Mkushi FM,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Foston Radio,Hot,Komboni Radio,Sun FM,","KNC,5FM,Blue Sky FM,Itezhi tezhi,Joy,Maranatha,Mkushi FM,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Foston Radio,Hot,Komboni Radio,Sun FM,","Maranatha,Phoenix,Power,Hot,",,"KNC,Power,",,",Maranatha,Phoenix,Hot,"
134610867,,,"Radio 1,Radio 2,Serenje","Radio 1,Radio 2,Serenje","Radio 2,Serenje,",,"Radio 1,Serenje,",,"Radio 2,"
134691580,,,"BBC,Joy,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Komboni Radio,","BBC,Joy,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Komboni Radio,","Komboni Radio,Radio Chrsitian Voice,",,"Radio 1,Komboni Radio,",,",Radio Chrsitian Voice,"
134953623,,,"BBC,Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,","BBC,Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,","Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,","Radio 1,",nan,"BBC,Maranatha,Radio 2,",",Radio Chrsitian Voice,"
134670543,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Luanginga Cheke,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Luanginga Cheke,","Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Luanginga Cheke,",,"Luanginga Cheke,",",Q FM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,","BBC,"
134802708,,,"Radio 1,Mpika,","Radio 1,Mpika,","Mpika,",,nan,,"Radio 1,Mpika,"
135107709,,,"KNC,Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,Komboni Radio","KNC,Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,Komboni Radio","Maranatha,Radio 1,Radio 2,Radio Chrsitian Voice,Komboni Radio,","Radio 1,",nan,",Radio Chrsitian Voice,","KNC,Maranatha,Radio 2,Komboni Radio,"
135118014,,,"KNC,Power,","KNC,Power,","Power,","KNC,",nan,,"Power,"
134846717,,,"Radio 1,Radio 2,Lutanda,Nmano,Nothern FM,","Radio 1,Radio 2,Lutanda,Nmano,Nothern FM,",,,nan,"Nmano,",
134701949,,,,,,,nan,,
134876928,,,"KNC,Mkushi FM,","KNC,Mkushi FM,","Mkushi FM,",,nan,"KNC,Mkushi FM,",
135084022,,,"KNC,Radio 1,Radio 2","KNC,Radio 1,Radio 2","Radio 1,Radio 2,",,nan,"KNC,","Radio 1,Radio 2,"
134922172,,,"Q FM,Lyambai,","Q FM,Lyambai,","Lyambai,",,nan,",Q FM,","Lyambai,"
134906051,,,"Radio Chrsitian Voice,Hot,","Radio Chrsitian Voice,Hot,","Hot,",,nan,,",Radio Chrsitian Voice,Hot,"
134851889,,,"KNC,Radio 1,Radio 2,Radio 4,","KNC,Radio 1,Radio 2,Radio 4,","Radio 1,Radio 2,Radio 4","KNC,Radio 1,Radio 2,Radio 4,",nan,,
134579401,,,"BBC,Q FM,Liseli,Luanginga Cheke,","BBC,Q FM,Liseli,Luanginga Cheke,",,,"Luanginga Cheke,",,
134579402,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,",,,nan,,"Luanginga Cheke,"
134579403,,,"Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai","Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai","Radio 2,Liseli,Luanginga Cheke,Lyambai,",",Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,",,
134587437,,,"Radio 1,Luanginga Cheke,Lyambai","Radio 1,Luanginga Cheke,Lyambai","Lyambai,",,"Radio 1,Lyambai,",,
134587438,,,"Radio 1,Radio 2,","Radio 1,Radio 2,",,,nan,,"Radio 1,"
134623538,,,"Radio 1,Liseli,Lyambai","Radio 1,Liseli,Lyambai",,,"Liseli,",,
134623539,,,"Luanginga Cheke,","Luanginga Cheke,",,,nan,"Luanginga Cheke,",
134627595,,,"Luanginga Cheke,","Luanginga Cheke,",,,nan,"Luanginga Cheke,",
134657574,,,"Liseli,","Liseli,",,,nan,,"Liseli,"
134663991,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,","Radio 1,Radio 2,Liseli,Luanginga Cheke,","Radio 2,Liseli,Luanginga Cheke",,nan,"Liseli,Luanginga Cheke,","Radio 1,Radio 2,"
134666199,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,",,,nan,,"Radio 1,"
134670305,,,"Liseli,Luanginga Cheke,Lyambai","Liseli,Luanginga Cheke,Lyambai","Luanginga Cheke,Lyambai,",,nan,"Luanginga Cheke,","Liseli,Lyambai,"
134670544,,,"Q FM,Liseli,Luanginga Cheke","Q FM,Liseli,Luanginga Cheke","Liseli,Luanginga Cheke,",,nan,,",Q FM,Liseli,Luanginga Cheke,"
134693310,,,"Luanginga Cheke,","Luanginga Cheke,",,,nan,"Luanginga Cheke,",
134698060,,,"Radio 1,Radio 2,","Radio 1,Radio 2,","Radio 2,",,nan,"Radio 1,Radio 2,",
134731374,,,"Liseli,Lyambai,","Liseli,Lyambai,","Lyambai,",,nan,,"Liseli,Lyambai,"
134731378,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mosi-0-Tunya,","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mosi-0-Tunya,",,,nan,,"Liseli,"
134811309,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,","Q FM,Radio 1,Radio 2,Radio 4,Parliament,Liseli,Luanginga Cheke,",,"Radio 1,Radio 2,Liseli,Luanginga Cheke,","BBC,Q FM,Parliament,","Radio 4,"
134854045,,,"Radio 1,Liseli,Lukulu,Lyambai,","Radio 1,Liseli,Lukulu,Lyambai,","Liseli,Lukulu,Lyambai","Liseli,Lukulu,","Lyambai,","Radio 1,",
134855062,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mungu,","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mungu,","Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mungu,",,nan,"Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Parliament,Liseli,Lukulu,Lyambai,Mungu,","BBC,Luanginga Cheke,"
134922168,,,"Liseli,Lyambai,","Liseli,Lyambai,","Lyambai,",,"Liseli,","Lyambai,",
134930647,,,"Lyambai,","Lyambai,",,"Lyambai,",nan,,
134947612,,,"Liseli,Lyambai,","Liseli,Lyambai,","Lyambai,",,"Liseli,Lyambai,",,
134948048,,,"Liseli,Lyambai,","Liseli,Lyambai,","Lyambai,",,nan,"Liseli,Lyambai,",
134948049,,,,,,,nan,,
134966318,,,"Radio 2,Liseli,Lyambai,Mungu,","Radio 2,Liseli,Lyambai,Mungu,","Liseli,Lyambai,Mungu",,nan,"Radio 2,","Liseli,Lyambai,Mungu,"
135033639,,,"Q FM,Radio 1,Radio 2,Liseli,Lyambai,","Q FM,Radio 1,Radio 2,Liseli,Lyambai,","Radio 1,Radio 2,Liseli,Lyambai,",,nan,,",Q FM,Radio 1,Radio 2,Liseli,Lyambai,"
135033642,,,"Radio 1,","Radio 1,",,,"Radio 1,",,
135042787,,,"Radio 1,Liseli,","Radio 1,Liseli,","Liseli,",,"Radio 1,Liseli,",,
135054443,,,"Liseli,","Liseli,",,,nan,"Liseli,",
135085561,,,"Radio 1,Radio 2,Radio 4,Liseli,Lyambai,","Radio 1,Radio 2,Radio 4,Liseli,Lyambai,","Radio 2,Radio 4,Liseli,Lyambai,",,nan,"Radio 1,Radio 2,Radio 4,Liseli,Lyambai,",
135119630,,,"Radio 1,Liseli,Mungu","Radio 1,Liseli,Mungu",,,nan,,"Radio 1,"
135145143,,,,,,,nan,,
135145174,,,"Liseli,","Liseli,",,,nan,"Liseli,",
134575903,,,"Parliament,Radio Christian Voice,Lutanda,Nmano,","Parliament,Radio Christian Voice,Lutanda,Nmano,","Nmano,Parliament,Radio Christian Voice",",Radio Christian VoiceParliament,Lutanda,Nmano,",nan,,",0"
134594644,,,"Radio 1,Radio 2,Lutanda,Nmano,","Radio 1,Radio 2,Lutanda,Nmano,","Radio 2,Lutanda,Nmano",,nan,,"Radio 1,Radio 2,Lutanda,Nmano,"
134659932,,,"Lutanda,Nmano,","Lutanda,Nmano,","Nmano,",,"Lutanda,Nmano,",,
134659935,,,"Radio 1,Radio 2,Nmano","Radio 1,Radio 2,Nmano",",Radio 1,",,nan,,"Radio 1,Nmano,"
134668456,,,"Radio 1,Radio 2,","Radio 1,Radio 2,","Radio 2,",,nan,,"Radio 1,Radio 2,"
135076196,,,"Lutanda,","Lutanda,",,,nan,"Lutanda,",
134994383,,,,,,,nan,,
134994528,,,"Mpika,","Mpika,",,"Mpika,",nan,,
134920549,,,"Radio 1,Radio 2,Mpika","Radio 1,Radio 2,Mpika","Radio 2,Mpika,","Radio 1,Radio 2,Mpika,",nan,,
134883677,,,"Radio 1,Mpika,","Radio 1,Mpika,",,,nan,,"Mpika,"
134886403,,,"Mpika,","Mpika,",,,nan,,"Mpika,"
135144530,,,"Radio 1,Radio 2,Radio 4,Muchinga,","Radio 1,Radio 2,Radio 4,Muchinga,","Radio 2,Radio 4,Muchinga",,"Radio 1,Radio 2,Muchinga,","Radio 4,",
134802322,,,"BBC,Radio 1,Radio 2,Radio Chrsitian Voice,Mpika,Isoka,Muchinga,Nakonde,","BBC,Radio 1,Radio 2,Radio Chrsitian Voice,Mpika,Isoka,Muchinga,Nakonde,","Radio 2,Mpika,","Mpika,","Radio 1,Radio 2,",,
134914233,,,"Mpika,","Mpika,",,,"Mpika,",,
134994343,,,"Radio 1,Radio 2,Radio 4,Mpika,","Radio 1,Radio 2,Radio 4,Mpika,","Radio 2,Radio 4,Mpika",,nan,"Radio 1,Radio 2,Radio 4,Mpika,",
134888500,,,"Mpika,","Mpika,",,"Mpika,",nan,,
134840089,,,"BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika,Parliament,Isoka,","BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika,Parliament,Isoka,","Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Mpika,Parliament","Radio 1,Radio 2,Mpika,Parliament,",nan,,"BBC,Radio 4,Radio Chrsitian Voice,"
134888499,,,"Radio 1,Radio 2,Mpika","Radio 1,Radio 2,Mpika",,,"Mpika,",,
134704108,,,"Isoka,","Isoka,",,,nan,"Isoka,",
134813637,,,,,,,nan,,
134820193,,,"Mpika,","Mpika,",,"Mpika,",nan,,
135078847,,,"Muchinga,","Muchinga,",,,nan,"Muchinga,",
134944676,,,"BBC,Radio 1,Radio 2,Radio 4,Mpika,Parliament,Isoka,","BBC,Radio 1,Radio 2,Radio 4,Mpika,Parliament,Isoka,","Radio 1,Radio 2,Mpika",,"Mpika,","Radio 1,Radio 2,","BBC,"
134994344,,,"Radio 1,Radio 2,Radio 4,Mpika,","Radio 1,Radio 2,Radio 4,Mpika,","Radio 2,Radio 4,Mpika",,nan,"Radio 1,Radio 2,Radio 4,Mpika,",
134847536,,,"Radio 1,Radio 2,Mpika","Radio 1,Radio 2,Mpika",,,"Radio 1,",,
134817235,,,"Radio 1,Radio 2,Mpika","Radio 1,Radio 2,Mpika","Radio 2,Mpika,","Radio 1,Radio 2,",nan,"Mpika,",
134704105,,,"Isoka,","Isoka,",,,nan,,"Isoka,"
134914236,,,,,,,nan,,
135139060,,,"Muchinga,","Muchinga,",,,"Muchinga,",,
134591799,,,"Isoka,","Isoka,",,"Isoka,",nan,,
134593009,,,"Radio 1,","Radio 1,",,,nan,,"Radio 1,"
134593012,,,"Radio 1,Radio 2,Isoka,Nakonde,","Radio 1,Radio 2,Isoka,Nakonde,","Radio 2,Isoka,Nakonde",,"Radio 2,","Radio 1,Isoka,Nakonde",
134593013,,,"Isoka,","Isoka,",,"Isoka,",nan,,
