,E! Entertainment  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Wednesday
48,18:15  -  18:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
49,18:30  -  18:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
50,19:45  -  19:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
51,17:15  -  17:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
52,14:15  -  14:29,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
53,14:45  -  14:59,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
54,15:00  -  15:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
55,14:00  -  14:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
56,14:30  -  14:44,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
57,10:15  -  10:29,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
